"Source_Document","Target_Document","Relationship_Type","ATA_Reference","Status","Last_Updated","Owner"
"95-00-14-00-001","95-00-14-01-001","PARENT_OF","ATA 02, 92","Active","2025-11-17","Ops Manager"
"95-00-14-00-001","95-00-14-02-001","PARENT_OF","ATA 00, 01","Active","2025-11-17","Governance Board"
"95-00-14-00-001","95-00-14-03-001","PARENT_OF","ATA 04, 05","Active","2025-11-17","Risk Manager"
"95-00-14-00-001","95-00-14-04-001","PARENT_OF","ATA 95","Active","2025-11-17","Sustainability Manager"
"95-00-14-01-001","ATA 02-20-XX","REFERENCES","ATA 02","Active","2025-11-17","Ops Manager"
"95-00-14-01-001","ATA 02-40-XX","REFERENCES","ATA 02","Active","2025-11-17","Ops Manager"
"95-00-14-01-001","ATA 92-XX-YY","REFERENCES","ATA 92","Active","2025-11-17","CAOS Lead"
"95-00-14-01-004","ATA 02-20-XX","DEPENDS_ON","ATA 02","Active","2025-11-17","Integration Manager"
"95-00-14-01-004","ATA 31-XX-YY","DEPENDS_ON","ATA 31","Active","2025-11-17","Integration Manager"
"95-00-14-01-004","ATA 45-XX-YY","DEPENDS_ON","ATA 45","Active","2025-11-17","Integration Manager"
"95-00-14-01-005","95-00-07-XX-YYY","REFERENCES","ATA 95","Active","2025-11-17","V&V Manager"
"95-00-14-01-005","95-00-10-XX-YYY","REFERENCES","ATA 95","Active","2025-11-17","Cert Manager"
"95-00-14-02-002","95-00-14-00-006","DEPENDS_ON","ATA 00","Active","2025-11-17","HR Lead"
"95-00-14-02-005","95-00-14-03-001","REFERENCES","ATA 04","Active","2025-11-17","Risk Manager"
"95-00-14-03-002","95-00-14-06-001","SUPPORTS","ATA 02","Active","2025-11-17","Risk Manager"
"95-00-14-03-004","95-00-07-XX-YYY","REFERENCES","ATA 95","Active","2025-11-17","Safety Manager"
"95-00-14-04-002","95-00-14-11-002","SUPPORTS","ATA 31","Active","2025-11-17","ESG Analyst"
"95-00-14-04-003","ATA 95-00-12-XX","REFERENCES","ATA 95","Active","2025-11-17","Circularity Lead"
"95-00-14-04-005","ATA 95-00-09-XX","REFERENCES","ATA 95","Active","2025-11-17","Integration Manager"
"95-00-14-05-002","95-00-14-06-004","SUPPORTS","ATA 02","Active","2025-11-17","Learning Lead"
"95-00-14-05-005","ATA 95-00-11-XX","REFERENCES","ATA 95","Active","2025-11-17","DPP Manager"
"95-00-14-06-001","ATA 02-20-50","REFERENCES","ATA 02","Active","2025-11-17","Incident Manager"
"95-00-14-06-002","ATA 31-XX-YY","DEPENDS_ON","ATA 31","Active","2025-11-17","Monitoring Lead"
"95-00-14-06-002","ATA 45-XX-YY","DEPENDS_ON","ATA 45","Active","2025-11-17","Monitoring Lead"
"95-00-14-06-005","95-00-07-XX-YYY","REFERENCES","ATA 95","Active","2025-11-17","V&V Manager"
"95-00-14-07-001","ATA 02-XX-YY","REFERENCES","ATA 02","Active","2025-11-17","Training Manager"
"95-00-14-07-005","95-00-14-08-005","SUPPORTS","ATA 00","Active","2025-11-17","HMI Specialist"
"95-00-14-08-004","ATA 02-XX-YY","REFERENCES","ATA 02","Active","2025-11-17","Doc Manager"
"95-00-14-08-005","95-00-14-00-007","DEPENDS_ON","N/A","Active","2025-11-17","CAOS Lead"
"95-00-14-09-005","95-00-10-XX-YYY","REFERENCES","ATA 95","Active","2025-11-17","Security Officer"
"95-00-14-10-004","95-00-10-XX-YYY","REFERENCES","ATA 95","Active","2025-11-17","AI Governance"
"95-00-14-11-001","ATA 31-XX-YY","DEPENDS_ON","ATA 31","Active","2025-11-17","Analytics Lead"
"95-00-14-11-001","ATA 45-XX-YY","DEPENDS_ON","ATA 45","Active","2025-11-17","Analytics Lead"
"95-00-14-11-004","ATA 95-00-12-XX","REFERENCES","ATA 95","Active","2025-11-17","DPP Manager"
"95-00-14-12-001","95-00-14-00-006","DEPENDS_ON","ATA 00","Active","2025-11-17","Comms Manager"
"95-00-14-13-001","95-00-14-04-002","SUPPORTS","ATA 95","Active","2025-11-17","ESG Manager"
"95-00-14-13-005","ATA 95-00-12-XX","REFERENCES","ATA 95","Active","2025-11-17","DPP Manager"
"95-00-14-14-001","95-00-14-00-001","CHILD_OF","ATA 00","Active","2025-11-17","Strategy Lead"
"95-00-14-14-005","ATA 00-XX-YY","REFERENCES","ATA 00","Active","2025-11-17","Strategy Lead"
