Certification_Item,Document_ID,Aircraft_SN,Issue_Date,Blockchain_Hash,Verification_Status,Verified_By,Last_Check
Type Design Approval,TDA-AMPEL360-BWB-001,MSN001,2024-01-10,0x1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b,Valid,EASA,2025-11-05
Production Organization Approval,POA-21J-123,MSN001,2023-12-15,0x2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c,Valid,EASA,2025-11-05
Airworthiness Certificate,AWC-MSN001-001,MSN001,2024-02-01,0x3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d,Valid,EASA,2025-11-05
Noise Certificate,NOI-MSN001-001,MSN001,2024-02-15,0x4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e,Valid,EASA,2025-11-05
Environmental Certificate,ENV-MSN001-001,MSN001,2024-02-20,0x5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f,Valid,EASA,2025-11-05
Weight & Balance Report,WBR-MSN001-001,MSN001,2025-10-15,0x6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a,Valid,Internal QC,2025-11-05
Flight Test Authorization,FTA-MSN001-001,MSN001,2025-05-15,0x7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b,Valid,EASA,2025-11-05
Hydrogen System Approval,HSA-MSN001-001,MSN001,2024-03-01,0x8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c,Valid,EASA,2025-11-05
Type Design Approval,TDA-AMPEL360-BWB-001,MSN002,2024-01-10,0x1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b,Valid,EASA,2025-11-05
Production Organization Approval,POA-21J-123,MSN002,2023-12-15,0x2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c,Valid,EASA,2025-11-05
