BladeID,Illustrated(Y/N),RadialPosition_mm,ChordLength_mm,TwistAngle_deg,Thickness_mm,PartNumber,Material,Quantity,MaintenanceMarking(Y/N)
Rotor-01,Y,50,120,35,8,PN-DF-BLD-001,Ti-6Al-4V/CFRP,1,Y
Rotor-02,Y,100,118,38,7.8,PN-DF-BLD-001,Ti-6Al-4V/CFRP,1,Y
Rotor-03,Y,150,116,40,7.5,PN-DF-BLD-001,Ti-6Al-4V/CFRP,1,Y
Rotor-04,Y,200,113,42,7.2,PN-DF-BLD-001,Ti-6Al-4V/CFRP,1,Y
Rotor-05,Y,250,110,44,6.8,PN-DF-BLD-001,Ti-6Al-4V/CFRP,1,Y
Rotor-06,Y,300,107,46,6.5,PN-DF-BLD-001,Ti-6Al-4V/CFRP,1,Y
Rotor-07,Y,350,103,49,6.1,PN-DF-BLD-001,Ti-6Al-4V/CFRP,1,Y
Rotor-08,Y,400,98,52,5.6,PN-DF-BLD-001,Ti-6Al-4V/CFRP,1,Y
Rotor-09,Y,450,93,55,5.2,PN-DF-BLD-001,Ti-6Al-4V/CFRP,1,Y
Rotor-10,Y,500,88,58,4.7,PN-DF-BLD-001,Ti-6Al-4V/CFRP,1,Y
Rotor-11,Y,550,85,60,4.3,PN-DF-BLD-001,Ti-6Al-4V/CFRP,1,Y
Rotor-12,Y,590,85,61,4.0,PN-DF-BLD-001,Ti-6Al-4V/CFRP,1,N
Stator-01,Y,50,95,15,5.0,PN-DF-VAN-001,CFRP,1,N
Stator-02,Y,100,92,18,4.8,PN-DF-VAN-001,CFRP,1,N
Stator-03,Y,150,88,21,4.5,PN-DF-VAN-001,CFRP,1,N
Stator-04,Y,200,84,24,4.2,PN-DF-VAN-001,CFRP,1,N
Stator-05,Y,250,80,27,3.9,PN-DF-VAN-001,CFRP,1,N
Stator-06,Y,300,76,30,3.5,PN-DF-VAN-001,CFRP,1,N
Stator-07,Y,350,72,33,3.2,PN-DF-VAN-001,CFRP,1,N
Stator-08,Y,400,70,35,3.0,PN-DF-VAN-001,CFRP,1,N
