ATA_Code,Component_Name,Series,Sub_Components,Hydrogen_Related,CO2_Related,CAOS_Related,Status
54-00-00,GENERAL,General,1,No,No,No,Complete
54-10-00,NACELLE_STRUCTURE,Nacelle,10,Yes,No,Yes,Complete
54-11-00,NACELLE_EXTERNAL_STRUCTURE,Nacelle,0,Yes,No,Yes,Complete
54-12-00,NACELLE_INTERNAL_STRUCTURE,Nacelle,0,Yes,No,Yes,Complete
54-13-00,NACELLE_FIREWALL_SYSTEMS,Nacelle,0,Yes,No,Yes,Complete
54-14-00,THERMAL_INSULATION_STRUCTURE,Nacelle,0,Yes,Yes,Yes,Complete
54-15-00,ACOUSTIC_TREATMENT_STRUCTURE,Nacelle,0,No,No,Yes,Complete
54-16-00,LIGHTNING_PROTECTION_STRUCTURE,Nacelle,0,Yes,No,Yes,Complete
54-17-00,DRAINAGE_SYSTEMS,Nacelle,0,Yes,No,Yes,Complete
54-18-00,VENTILATION_STRUCTURE,Nacelle,0,Yes,No,Yes,Complete
54-19-00,NACELLE_SUPPORT_RINGS,Nacelle,0,Yes,No,Yes,Complete
54-20-00,PYLON_STRUCTURE,Pylon,10,Yes,No,Yes,Complete
54-21-00,UPPER_PYLON_ASSEMBLY,Pylon,0,Yes,No,Yes,Complete
54-22-00,LOWER_PYLON_ASSEMBLY,Pylon,0,Yes,No,Yes,Complete
54-23-00,PYLON_WING_INTERFACE,Pylon,0,Yes,No,Yes,Complete
54-24-00,PYLON_NACELLE_INTERFACE,Pylon,0,Yes,No,Yes,Complete
54-25-00,PYLON_INTERNAL_STRUCTURE,Pylon,0,Yes,No,Yes,Complete
54-26-00,PYLON_FAIRINGS,Pylon,0,No,No,Yes,Complete
54-27-00,PYLON_LOAD_DISTRIBUTION,Pylon,0,Yes,No,Yes,Complete
54-28-00,PYLON_INSPECTION_ACCESS,Pylon,0,No,No,Yes,Complete
54-29-00,PYLON_SERVICE_PLATFORMS,Pylon,0,No,No,Yes,Complete
54-30-00,ENGINE_MOUNTING_SYSTEMS,Mounting,10,Yes,No,Yes,Complete
54-31-00,FORWARD_ENGINE_MOUNT,Mounting,0,Yes,No,Yes,Complete
54-32-00,AFT_ENGINE_MOUNT,Mounting,0,Yes,No,Yes,Complete
