Volume_Component,Type,Volume_m3,Percentage_Total,Mass_kg,Density_kg_m3,Purpose_Notes
Passenger_Cabin,Pressurized,560,34.8,15000,26.8,220 passenger seats and cabin furnishings
Cockpit,Pressurized,18,1.1,2500,138.9,Flight deck for 2 crew with modern avionics
Forward_Cargo,Pressurized,45,2.8,8000,177.8,Containerized cargo - standard LD3 compatible
Aft_Cargo,Pressurized,38,2.4,7000,184.2,Containerized cargo and bulk storage
Total_Pressurized_Volume,Pressurized,661,41.1,32500,49.2,Total cabin and cargo pressurized space
H2_Tank_Forward,Cryogenic,37,2.3,2667,72.1,Forward LH2 cryogenic tank - vacuum insulated
H2_Tank_Center,Cryogenic,37,2.3,2667,72.1,Center LH2 cryogenic tank - vacuum insulated
H2_Tank_Aft,Cryogenic,38,2.4,2667,70.2,Aft LH2 cryogenic tank - vacuum insulated
Total_H2_Storage,Cryogenic,112,7.0,8001,71.4,Combined hydrogen fuel storage
Fuel_Cell_Bay,Equipment,12,0.7,3500,291.7,PEM fuel cell stacks and cooling systems
Avionics_Bay_Forward,Equipment,15,0.9,2000,133.3,Forward avionics equipment bay
Avionics_Bay_Aft,Equipment,8,0.5,1000,125.0,Aft avionics and systems
Battery_Compartment,Equipment,12,0.7,4500,375.0,Main electrical energy storage
Environmental_Control_Bay,Equipment,18,1.1,3500,194.4,HVAC pressurization and air management
Hydraulic_Equipment,Equipment,6,0.4,2000,333.3,Flight control hydraulic systems
CO2_Capture_Bay,Equipment,24,1.5,3000,125.0,Solid-state CO2 capture system
Total_Equipment_Bays,Equipment,95,5.9,19500,205.3,All equipment and systems installation volume
Wing_Internal_Volume,Structure,520,32.3,28500,54.8,Wing structure fuel cell integration and systems
Fuselage_Structure,Structure,180,11.2,12000,66.7,Forward and aft fuselage sections
Landing_Gear_Bays,Structure,35,2.2,5500,157.1,Main and nose landing gear wells
Total_Structural_Volume,Structure,735,45.7,46000,62.6,All structural component internal volume
Wing_Box_Center,Primary,250,15.5,15000,60.0,Main center wing box - critical structure
Wing_Box_Outer,Primary,200,12.4,8500,42.5,Outer wing panels - reduced loads
Tail_Structure,Primary,25,1.6,2500,100.0,Vertical stabilizer structure
Total_Primary_Structure,Primary,475,29.5,26000,54.7,Load-bearing primary structure
Total_Aircraft_Volume,Total,1608,100.0,95000,59.1,Complete aircraft internal volume
Void_Space,Non-Usable,85,5.3,0,0.0,Interstitial and inaccessible volumes
Usable_Volume_Efficiency,Efficiency,94.7,%,,,Percentage of total volume utilized
Volume_per_Passenger,Metric,2.55,m³/pax,,,Spacious compared to conventional (1.8 m³/pax)
Volume_per_Weight,Metric,0.0169,m³/kg,,,Efficient structural volume utilization
Comparison_Conventional,Reference,450,m³ pressurized,,,A320 class - 180 pax typical
Comparison_Volume_Advantage,Efficiency,46.9,%,more cabin volume per pax,,BWB configuration advantage
Pressure_Differential,Design,62,kPa 9 psi,,,Maximum cabin pressure differential
Cabin_Altitude_Cruise,Design,2400,m 8000 ft,,,Typical cruise cabin altitude
Pressurized_Shell_Thickness,Structure,4.5,mm average,,,Composite sandwich construction
Insulation_Thickness,Thermal,80,mm average,,,Thermal and acoustic insulation
H2_Tank_Insulation,Cryogenic,150,mm vacuum,,,Multi-layer insulation for cryogenic temps
Internal_Clear_Height_Cabin,Passenger,2.2,m,,,Generous headroom in center section
Internal_Width_Cabin_Max,Passenger,8.5,m,,,Wide body configuration at maximum
Aisle_Width,Passenger,0.5,m,,,Dual aisles for 220 passengers
Cargo_Container_Capacity,Cargo,12,LD3 containers,,,Standard aviation cargo compatibility
