Level,Part_Number,Description,Parent_PN,Qty_Per_Parent,Category,Critical,LRU
0,PN-52-10-01-000000,Door_L1_Complete_Assembly,N/A,1,Assembly,Yes,Yes
1,PN-52-10-01-101000,Door_Panel_Assembly,PN-52-10-01-000000,1,Structural,Yes,Yes
2,PN-52-10-01-101001,Outer_Face_Sheet,PN-52-10-01-101000,1,Structural,Yes,No
2,PN-52-10-01-101002,Inner_Face_Sheet,PN-52-10-01-101000,1,Structural,Yes,No
2,PN-52-10-01-101003,Honeycomb_Core,PN-52-10-01-101000,1,Structural,Yes,No
2,PN-52-10-01-101004,Edge_Bands,PN-52-10-01-101000,4,Structural,Yes,No
1,PN-52-10-01-102000,Frame_Assembly,PN-52-10-01-000000,1,Structural,Yes,Yes
2,PN-52-10-01-102001,Upper_Beam,PN-52-10-01-102000,1,Structural,Yes,No
2,PN-52-10-01-102002,Lower_Beam,PN-52-10-01-102000,1,Structural,Yes,No
2,PN-52-10-01-102003,Side_Rails,PN-52-10-01-102000,2,Structural,Yes,No
1,PN-52-10-01-103000,Reinforcements,PN-52-10-01-000000,1,Structural,Yes,No
2,PN-52-10-01-103001,Hinge_Doublers,PN-52-10-01-103000,3,Structural,Yes,No
2,PN-52-10-01-103002,Latch_Fittings,PN-52-10-01-103000,4,Structural,Yes,No
1,PN-52-10-01-201000,Latch_System,PN-52-10-01-000000,1,Mechanical,Yes,Yes
2,PN-52-10-01-201001,Latch_Hook,PN-52-10-01-201000,2,Mechanical,Yes,Yes
2,PN-52-10-01-201002,Latch_Pin,PN-52-10-01-201000,2,Mechanical,Yes,Yes
2,PN-52-10-01-201003,Spring_Assembly,PN-52-10-01-201000,2,Mechanical,No,Yes
1,PN-52-10-01-202000,Hinge_System,PN-52-10-01-000000,1,Mechanical,Yes,Yes
2,PN-52-10-01-202001,Hinge_Arm,PN-52-10-01-202000,3,Mechanical,Yes,Yes
2,PN-52-10-01-202002,Hinge_Pin,PN-52-10-01-202000,3,Mechanical,Yes,Yes
2,PN-52-10-01-202003,Bushings,PN-52-10-01-202000,6,Mechanical,No,Yes
1,PN-52-10-01-203000,Actuation_System,PN-52-10-01-000000,1,Mechanical,Yes,Yes
2,PN-52-10-01-203001,Motor_Assembly,PN-52-10-01-203000,1,Mechanical,Yes,Yes
2,PN-52-10-01-203002,Gearbox,PN-52-10-01-203000,1,Mechanical,Yes,Yes
2,PN-52-10-01-203003,Drive_Shaft,PN-52-10-01-203000,1,Mechanical,Yes,Yes
1,PN-52-10-01-204000,Seal_System,PN-52-10-01-000000,1,Mechanical,Yes,Yes
2,PN-52-10-01-204001,Primary_Seal,PN-52-10-01-204000,1,Mechanical,Yes,Yes
2,PN-52-10-01-204002,Secondary_Seal,PN-52-10-01-204000,1,Mechanical,No,Yes
1,PN-52-10-01-301000,Power_Distribution,PN-52-10-01-000000,1,Electrical,Yes,Yes
2,PN-52-10-01-301001,Junction_Box,PN-52-10-01-301000,1,Electrical,Yes,Yes
2,PN-52-10-01-301002,Circuit_Breakers,PN-52-10-01-301000,3,Electrical,Yes,Yes
1,PN-52-10-01-302000,Control_Electronics,PN-52-10-01-000000,1,Electrical,Yes,Yes
2,PN-52-10-01-302001,Door_Controller,PN-52-10-01-302000,1,Electrical,Yes,Yes
2,PN-52-10-01-302002,Interface_Board,PN-52-10-01-302000,1,Electrical,Yes,Yes
1,PN-52-10-01-303000,Sensors,PN-52-10-01-000000,1,Electrical,Yes,Yes
2,PN-52-10-01-303001,Position_Sensor,PN-52-10-01-303000,2,Electrical,Yes,Yes
2,PN-52-10-01-303002,Pressure_Sensor,PN-52-10-01-303000,1,Electrical,Yes,Yes
2,PN-52-10-01-303003,Load_Cells,PN-52-10-01-303000,4,Electrical,Yes,Yes
1,PN-52-10-01-304000,Wiring_Harness,PN-52-10-01-000000,1,Electrical,Yes,Yes
2,PN-52-10-01-304001,Main_Harness,PN-52-10-01-304000,1,Electrical,Yes,Yes
2,PN-52-10-01-304002,Sensor_Harness,PN-52-10-01-304000,1,Electrical,Yes,Yes
1,PN-52-10-01-401000,Embedded_Software,PN-52-10-01-000000,1,Software,Yes,No
2,PN-52-10-01-401001,Door_Firmware,PN-52-10-01-401000,1,Software,Yes,No
2,PN-52-10-01-401002,Sensor_Firmware,PN-52-10-01-401000,1,Software,Yes,No
1,PN-52-10-01-402000,CAOS_Modules,PN-52-10-01-000000,1,Software,Yes,No
2,PN-52-10-01-402001,Monitoring_Module,PN-52-10-01-402000,1,Software,Yes,No
2,PN-52-10-01-402002,Analytics_Module,PN-52-10-01-402000,1,Software,Yes,No
