Requirement_ID,Requirement_Description,Verification_Method,Test_Plan,Analysis,Status,Evidence_Location,DER_Review,Compliance_Status
RQ-52-10-01-001,Ultimate_pressure_17psi,Test,TP-001,CALC-STR-001,Open,TEST_RESULTS/TR-001/,Not_Started,TBD
RQ-52-10-01-002,Limit_pressure_11.33psi,Test,TP-001,CALC-STR-001,Open,TEST_RESULTS/TR-001/,Not_Started,TBD
RQ-52-10-01-003,Fatigue_120k_cycles,Test,TP-003,CALC-FAT-001,Open,TEST_RESULTS/TR-003/,Not_Started,TBD
RQ-52-10-01-004,Damage_tolerance_50mm,Test,TP-004,CALC-DAM-001,Open,TEST_RESULTS/TR-004/,Not_Started,TBD
RQ-52-10-01-005,Lightning_200kA,Test,TP-006,CALC-LTG-001,Open,TEST_RESULTS/TR-006/,Not_Started,TBD
RQ-52-10-01-011,Lightning_Zone1A,Test,TP-006,-,Open,TEST_RESULTS/TR-006/,Not_Started,TBD
RQ-52-10-01-012,Bird_strike_1.8kg_230kts,Test,TP-007,-,Open,TEST_RESULTS/TR-007/,Not_Started,TBD
RQ-52-10-01-015,Fire_resistance_15min,Test,TP-008,-,Open,TEST_RESULTS/TR-008/,Not_Started,TBD
RQ-52-10-01-016,Weight_max_140kg,Inspection,-,CALC-WGT-001,Partial,04_DESIGN/,Not_Started,Likely
RQ-52-10-01-018,No_resonance_adequate_damping,Test,TP-005,CALC-DYN-001,Open,TEST_RESULTS/TR-005/,Not_Started,TBD
RQ-52-10-01-020,Plug_seal_capability,Demo,TP-010,-,Open,TEST_RESULTS/TR-010/,Not_Started,TBD
RQ-52-10-01-021,Latch_engagement_8_points,Demo,TP-010,-,Open,TEST_RESULTS/TR-010/,Not_Started,TBD
RQ-52-10-01-022,Manual_opening_force_max_220N,Demo,TP-010,-,Open,TEST_RESULTS/TR-010/,Not_Started,TBD
RQ-52-10-01-023,Slide_deployment_max_6s,Demo,TP-010,-,Open,TEST_RESULTS/TR-010/,Not_Started,TBD
RQ-52-10-01-050,Leak_rate_max_0.05CFM,Test,TP-002,-,Open,TEST_RESULTS/TR-002/,Not_Started,TBD
RQ-52-10-01-051,Emergency_opening_time_max_15s,Demo,TP-010,-,Open,TEST_RESULTS/TR-010/,Not_Started,TBD
RQ-52-10-01-060,Emergency_exit_function,Demo,TP-010,-,Open,TEST_RESULTS/TR-010/,Not_Started,TBD
RQ-52-10-01-070,Low_temp_operation_minus40C,Test,TP-009,-,Open,TEST_RESULTS/TR-009/,Not_Started,TBD
RQ-52-10-01-071,High_temp_operation_plus55C,Test,TP-009,-,Open,TEST_RESULTS/TR-009/,Not_Started,TBD
RQ-52-10-01-100,Pressure_interlock_above_1psi,Demo,TP-010,-,Open,TEST_RESULTS/TR-010/,Not_Started,TBD
CS-25.305,Strength_and_deformation,Test,TP-001_TP-002,-,Open,COMPLIANCE_VERIFICATION/,Not_Started,TBD
CS-25.365,Pressurized_compartment_loads,Test,TP-001,-,Open,COMPLIANCE_VERIFICATION/,Not_Started,TBD
CS-25.571,Damage_tolerance_fatigue,Test,TP-003_TP-004,CALC-FAT-001,Open,COMPLIANCE_VERIFICATION/,Not_Started,TBD
CS-25.629,Aeroelastic_stability,Test,TP-005,CALC-DYN-001,Open,COMPLIANCE_VERIFICATION/,Not_Started,TBD
CS-25.631,Bird_strike,Test,TP-007,-,Open,COMPLIANCE_VERIFICATION/,Not_Started,TBD
CS-25.581,Lightning_protection,Test,TP-006,-,Open,COMPLIANCE_VERIFICATION/,Not_Started,TBD
CS-25.783,Doors,Test_Demo,TP-010,-,Open,COMPLIANCE_VERIFICATION/,Not_Started,TBD
CS-25.807,Emergency_exits,Insp_Demo,TP-010,-,Open,COMPLIANCE_VERIFICATION/,Not_Started,TBD
CS-25.853,Fire_resistance,Test,TP-008,-,Open,COMPLIANCE_VERIFICATION/,Not_Started,TBD
