Parameter,Value,Unit,Notes
Manufacturer,AMPEL360,—,—
Model,BWB H₂ Hy-E Q100 INTEGRA,—,—
Type_Certificate,Pending,—,Target 2028
Aircraft_Category,Transport,—,CS-25 / FAR Part 25
Configuration,Blended Wing Body,—,—
Crew,2,pilots,Minimum crew
Passenger_Capacity,220,pax,Single class
Cargo_Volume,48.5,m³,Underfloor
Maximum_Takeoff_Weight,185000,kg,MTOW
Maximum_Landing_Weight,150000,kg,MLW
Maximum_Zero_Fuel_Weight,140000,kg,MZFW
Operating_Empty_Weight,95000,kg,OEW
Maximum_Fuel_Capacity,8000,kg,H₂ cryogenic
Design_Range,6500,km,3500 NM
Design_Cruise_Speed,470,kt,Mach 0.82
Service_Ceiling,13700,m,FL450
Wingspan,80,m,Code F
Overall_Length,55,m,BWB chord
Overall_Height,14.5,m,At ground
Propulsion_Type,Hydrogen Fuel Cells,—,4 × 2.5 MW
