# 85-80-02-A-002 Solar Irradiance Data (Monthly Averages)
# Location: Airport Site | Latitude: XX.XX | Longitude: YY.YY
Month,Global_Horizontal_Irradiance_kWh_m2,Direct_Normal_Irradiance_kWh_m2,Diffuse_Horizontal_Irradiance_kWh_m2,Peak_Sun_Hours
January,90,110,40,3.0
February,105,130,48,3.5
March,140,170,60,4.5
April,165,195,70,5.5
May,185,215,78,6.0
June,195,225,82,6.5
July,190,220,80,6.3
August,175,205,75,5.8
September,150,180,65,5.0
October,120,145,52,4.0
November,95,115,42,3.2
December,85,105,38,2.8
Annual_Total,1695,2015,730,4.6_avg

# Document Control: Generated by AI (GitHub Copilot), prompted by Amedeo Pelliccia | Status: DRAFT | 2025-11-22
