Compliance_ID,Requirement_Source,Requirement_ID,Requirement_Description,Applicable_Standard,Compliance_Method,Evidence_Location,Verification_Date,Verification_Result,Verifier,Notes
COMP-401,CS-25,CS-25.771,Pilot_Compartment_View,CS-25.771,Analysis_and_Test,06_ENGINEERING/,TBD,PENDING,TBD,BWB configuration compliance
COMP-402,CS-25,CS-25.783,Doors_Emergency_Exits,CS-25.783,Design_Review,04_DESIGN/,TBD,PENDING,TBD,Door positioning and accessibility
COMP-403,CS-25,CS-25.807,Emergency_Exit_Access,CS-25.807,Mockup_Test,08_PROTOTYPING/,TBD,PENDING,TBD,Sill height and access verification
COMP-404,CS-25,CS-25.1541,Markings_Placards,CS-25.1541,Documentation,11_OPERATIONS_MAINTENANCE/,TBD,PENDING,TBD,Dimension markings on aircraft
COMP-405,CS-25,CS-25.1583,Operating_Limitations,CS-25.1583,AFM_Documentation,11_OPERATIONS_MAINTENANCE/,TBD,PENDING,TBD,Geometric limitations in AFM
COMP-406,ICAO_Annex_14,Code_E_Wingspan,Wingspan_52m_to_65m,ICAO_Annex_14,Measurement,07_V_AND_V/DIMENSION_VERIFICATION/,TBD,PENDING,TBD,Wingspan 52m within Code E (52-65m)
COMP-407,ICAO_Annex_14,Code_E_Outer_Main_Gear,Wheelbase_9m_to_15m,ICAO_Annex_14,Measurement,07_V_AND_V/DIMENSION_VERIFICATION/,TBD,PENDING,TBD,Wheelbase 15.5m within Code E range
COMP-408,ICAO_Annex_14,Taxiway_Width,Taxiway_Width_23m_min,ICAO_Annex_14,Analysis,01_OVERVIEW/TABLES/Airport_Compatibility.csv,TBD,PENDING,TBD,Aircraft fits Code E taxiway (23m width)
COMP-409,ICAO_Annex_14,Turning_Radius,Turning_Radius_Compliance,ICAO_Annex_14,Analysis,01_OVERVIEW/TABLES/Airport_Compatibility.csv,TBD,PENDING,TBD,42m turning radius acceptable for Code E
COMP-410,ICAO_Annex_14,Gate_Compatibility,Aircraft_Stand_Width,ICAO_Annex_14,Analysis,01_OVERVIEW/TABLES/Airport_Compatibility.csv,TBD,PENDING,TBD,Gate width for 52m wingspan
COMP-411,ICAO_Annex_14,Pavement_Classification,ACN_PCN_Method,ICAO_Annex_14,Calculation,06_ENGINEERING/CALCULATIONS/,TBD,PENDING,TBD,Pavement strength requirements
COMP-412,ATA_iSpec_2200,Dimension_Data_Format,Standard_Data_Format,ATA_iSpec_2200,Documentation_Review,01_OVERVIEW/TABLES/,TBD,PENDING,TBD,Data tables follow ATA format
COMP-413,ATA_iSpec_2200,Geometry_Data_Format,Standard_Geometry_Format,ATA_iSpec_2200,Documentation_Review,01_OVERVIEW/BWB_GEOMETRY/,TBD,PENDING,TBD,Geometry data follows ATA format
COMP-414,S1000D,Technical_Publication,Data_Module_Structure,S1000D_6.0,Documentation_Review,14_META_GOVERNANCE/,TBD,PENDING,TBD,Documentation structure compliance
COMP-415,ISO_1101,GD&T_Application,Geometric_Tolerancing,ISO_1101,Drawing_Review,05_ENGINEERING_DRAWINGS/,TBD,PENDING,TBD,Tolerances per ISO 1101
COMP-416,ISO_5459,Datum_Reference,Datum_System_Definition,ISO_5459,Drawing_Review,05_ENGINEERING_DRAWINGS/,TBD,PENDING,TBD,Datum systems per ISO 5459
COMP-417,AS9100,Quality_System,Measurement_System_Analysis,AS9100D,QMS_Audit,14_META_GOVERNANCE/,TBD,PENDING,TBD,MSA for dimension measurements
COMP-418,Internal,REQ-02-11-001,Wingspan_52m_Target,03_REQUIREMENTS/Dimensional_Requirements.csv,Measurement,07_V_AND_V/DIMENSION_VERIFICATION/,TBD,PENDING,TBD,Internal requirement verification
COMP-419,Internal,REQ-02-11-007,Wing_Area_845m2_Target,03_REQUIREMENTS/Dimensional_Requirements.csv,Calculation,07_V_AND_V/GEOMETRY_VALIDATION/,TBD,PENDING,TBD,Internal requirement verification
COMP-420,Internal,REQ-02-11-013,Ground_Clearance_1.8m_Min,03_REQUIREMENTS/Ground_Clearance_Requirements.csv,Test,07_V_AND_V/CLEARANCE_VERIFICATION/,TBD,PENDING,TBD,Internal requirement verification
COMP-421,Internal,REQ-02-11-019,Station_System_Consistency,03_REQUIREMENTS/Reference_System_Requirements.csv,Audit,07_V_AND_V/COORDINATE_SYSTEM_VALIDATION/,TBD,PENDING,TBD,Internal requirement verification
COMP-422,Internal,REQ-02-11-025,Airport_Code_E_Compatibility,03_REQUIREMENTS/Airport_Compatibility_Requirements.csv,Analysis,01_OVERVIEW/TABLES/Airport_Compatibility.csv,TBD,PENDING,TBD,Internal requirement verification
COMP-423,Internal,Traceability_Matrix,Requirements_to_Design,Internal_Process,Traceability_Audit,14_META_GOVERNANCE/,TBD,PENDING,TBD,Full traceability established
COMP-424,Internal,Data_Consistency,All_02-11-00_Documents,Internal_Process,Cross_Reference_Audit,07_V_AND_V/COMPLIANCE_VERIFICATION/,TBD,PENDING,TBD,Consistency across all documents
COMP-425,Internal,Baseline_Control,Baseline_Version_Control,Internal_Process,Configuration_Audit,14_META_GOVERNANCE/,TBD,PENDING,TBD,Baseline dimensions under control
COMP-426,Internal,Change_Management,Dimension_Change_Control,Internal_Process,Process_Audit,14_META_GOVERNANCE/,TBD,PENDING,TBD,Dimension changes properly managed
