Subsystem_ID,Subsystem_Name,ATA_Target,Dependency_Type,Description
02-20-01,Digital_Ops_Platform,CAOS,Bidirectional,"Core data backbone for CAOS: exposes ops data from all 02-20 subsystems and ingests CAOS insights."
02-20-11,Electronic_Flight_Bag,ATA_42,Data_Consumer,"Consumes aircraft state (position, speed, config, fuel/H2) via IMA/data buses for EFB functions."
02-20-11,Electronic_Flight_Bag,ATA_03,Data_Consumer,"Consumes ground WiFi / connectivity services and update infrastructure from support systems."
02-20-11,Electronic_Flight_Bag,ATA_31,Data_Provider,"Provides high-level ops usage events for recording and analytics."
02-20-12,Weight_Balance_Computer,ATA_28,Bidirectional,"Uses H2 tank level/pressure/temperature and provides CG and load constraints (advisory)."
02-20-12,Weight_Balance_Computer,ATA_21,Data_Consumer,"Consumes cabin layout / payload station data for W&B calculations."
02-20-13,Performance_Computer,ATA_42,Bidirectional,"Consumes FMS route and state; outputs advisory speeds/profiles to avionics."
02-20-13,Performance_Computer,ATA_95,Data_Consumer,"Consumes NN performance predictor models defined and governed in ATA 95."
02-20-14,Ground_Ops_Management,ATA_03,Bidirectional,"Coordinates turnaround with GSE availability, capabilities and scheduling."
02-20-14,Ground_Ops_Management,ATA_28,Data_Consumer,"Consumes H2 refuelling system constraints and status for ground ops planning."
02-20-15,Flight_Planning_Integration,ATA_42,Bidirectional,"Exchanges flight plans and routing constraints with avionics/FMS."
02-20-15,Flight_Planning_Integration,ATA_03,Data_Consumer,"Consumes airport and ground infrastructure data used in planning."
02-20-16,Dispatch_System_Integration,ATA_42,Bidirectional,"Interfaces with AOC/AOC gateway hosted in avionics environment where applicable."
02-20-17,Weather_Information_System,ATA_42,Bidirectional,"Consumes aircraft trajectory for overlays; provides graphical weather data to cockpit systems."
02-20-17,Weather_Information_System,ATA_95,Data_Consumer,"Uses weather NN models documented in ATA 95 for predictive turbulence/hazard products."
02-20-18,Operational_Data_Recording,ATA_31,Bidirectional,"Consumes raw FDR/maintenance data; provides curated ops events/KPIs."
02-20-18,Operational_Data_Recording,CAOS,Bidirectional,"Provides historical datasets to CAOS and consumes annotations/analysis results."
02-20-19,Crew_Resource_Management,ATA_31,Data_Provider,"Provides crew ops events for logging and post-flight analysis."
02-20-19,Crew_Resource_Management,ATA_44,Data_Consumer,"Consumes cabin/communications system capabilities for crew comm tools."
02-20-21,H2_Operations_Management,ATA_28,Bidirectional,"Coordinates H2 refuelling/conditioning profiles with tank system capabilities."
02-20-21,H2_Operations_Management,ATA_03,Bidirectional,"Coordinates with H2 GSE (trucks/plants) on readiness, flow and safety conditions."
02-20-22,Passenger_Experience_Management,ATA_21,Data_Consumer,"Consumes ECS and cabin comfort data to assess passenger experience."
02-20-22,Passenger_Experience_Management,ATA_44,Bidirectional,"Integrates with IFEC/cabin network to support passenger-facing services."
02-20-23,Predictive_Operations_NN,ATA_95,Bidirectional,"Uses NN/RL models defined under ATA 95 and feeds back performance metrics and drift indicators."
02-20-23,Predictive_Operations_NN,ATA_31,Data_Consumer,"Consumes historical recorded data to train and refine predictive models."
02-20-23,Predictive_Operations_NN,CAOS,Bidirectional,"Implements CAOS predictive use cases and returns predictions and recommended actions."
