Folder,Required,Present,Compliance_Status,Notes
01_OVERVIEW,Yes,Yes,Compliant,Complete
02_SAFETY,Yes,Yes,Compliant,Complete
03_REQUIREMENTS,Yes,Yes,Compliant,Complete
04_DESIGN,Yes,Yes,Compliant,Complete
05_INTERFACES,Yes,Yes,Compliant,Complete
06_ENGINEERING,Yes,Yes,Compliant,Complete
07_V_AND_V,Yes,Yes,In_Development,60%_complete
08_PROTOTYPING,Yes,Yes,Planned,TBD
09_PRODUCTION_PLANNING,Yes,Yes,Planned,TBD
10_CERTIFICATION,Yes,Yes,In_Development,50%_complete
11_OPERATIONS_MAINTENANCE,Yes,Yes,In_Development,70%_complete
12_ASSETS_MANAGEMENT,Yes,Yes,Planned,TBD
13_SUBSYSTEMS_COMPONENTS,Yes,Yes,Planned,TBD
14_META_GOVERNANCE,Yes,Yes,Complete,100%
