Interface_ID,Interface_Name,Type,Location,Subsystem_ID,Component_PN,Mating_Interface,Connector_Type,Specification,Notes
IFP-H2-FUEL-001,H₂ Fueling Receptacle Port,Fluid,Fwd Fuselage Station 450,85-H2-FUEL-001,85-RCPT-H2F-001-A,Ground H₂ Fueling Nozzle,SAE AS50881 Receptacle,"700 bar, -40 to +85°C","Primary fueling point, starboard side"
IFP-H2-FUEL-002,H₂ Fueling Receptacle Port,Fluid,Fwd Fuselage Station 450,85-H2-FUEL-001,85-RCPT-H2F-001-A,Ground H₂ Fueling Nozzle,SAE AS50881 Receptacle,"700 bar, -40 to +85°C","Secondary fueling point, port side"
IFP-H2-VENT-001,H₂ Vent Coupling,Fluid,Aft Fuselage Station 850,85-H2-VENT-001,85-CONN-H2V-001-A,Ground H₂ Vent Hose,Cam-lock Quick-Disconnect,"10 bar, -40 to +85°C","Boil-off vent, starboard"
IFP-H2-VENT-002,H₂ Vent Coupling,Fluid,Aft Fuselage Station 850,85-H2-VENT-001,85-CONN-H2V-001-A,Ground H₂ Vent Hose,Cam-lock Quick-Disconnect,"10 bar, -40 to +85°C","Boil-off vent, port"
IFP-CO2-CHRG-001,CO₂ Battery Charging Port,Electrical,Fwd Fuselage Station 320,85-CO2-CHRG-001,85-RCPT-CO2-001-A,CCS Type 2 Charging Plug,CCS Type 2 Inlet,"800V DC, 500A, Liquid-cooled","Primary charging port, starboard"
IFP-CO2-CHRG-002,CO₂ Battery Charging Port,Electrical,Fwd Fuselage Station 320,85-CO2-CHRG-001,85-RCPT-CO2-001-A,CCS Type 2 Charging Plug,CCS Type 2 Inlet,"800V DC, 500A, Liquid-cooled","Secondary charging port, port"
IFP-CO2-THRM-001,CO₂ Battery Coolant In,Fluid,Fwd Fuselage Station 330,85-CO2-THRM-001,85-CONN-CO2T-001-A,Ground Coolant Supply Hose,Flat-Face Quick-Disconnect,"5 bar, -20 to +80°C","Coolant supply, starboard"
IFP-CO2-THRM-002,CO₂ Battery Coolant Out,Fluid,Fwd Fuselage Station 340,85-CO2-THRM-001,85-CONN-CO2T-001-A,Ground Coolant Return Hose,Flat-Face Quick-Disconnect,"5 bar, -20 to +80°C","Coolant return, starboard"
IFP-APT-PWR-001,400Hz AC Ground Power,Electrical,Fwd Fuselage Station 200,85-APT-PWR-001,85-RCPT-APT-001-A,MIL-DTL-38999 Plug,MIL-DTL-38999 Receptacle,"115/200V 3φ 400Hz, 400A","Primary AC power, nose gear bay"
IFP-APT-PWR-002,28V DC Ground Power,Electrical,Fwd Fuselage Station 210,85-APT-PWR-001,85-RCPT-APT-002-A,AS50181 Plug,AS50181 Receptacle,"28V DC, 600A","Primary DC power, nose gear bay"
IFP-APT-DATA-001,Ethernet Data Port,Data,Fwd Fuselage Station 220,85-APT-DATA-001,85-RCPT-APT-010-A,Cat6A/Cat7 Cable,RJ45 10GBASE-T,"10 Gbps, IP67","Primary data port, nose gear bay"
IFP-APT-DATA-002,Fiber Optic Data Port,Data,Fwd Fuselage Station 225,85-APT-DATA-001,85-RCPT-APT-011-A,OM4 Fiber Cable,ARINC 801 LC Duplex,"100 Gbps, Multi-mode","High-speed data, nose gear bay"
IFP-PAX-BRDG-001,Passenger Door 1L Boarding,Mechanical,Mid Fuselage Station 600,85-PAX-BRDG-001,85-CONN-PAX-001-A,Boarding Bridge Head,Docking Adapter,"500 kg load, 0.5 bar seal","Main passenger boarding, port"
IFP-PAX-BRDG-002,Passenger Door 1R Boarding,Mechanical,Mid Fuselage Station 600,85-PAX-BRDG-001,85-CONN-PAX-001-A,Boarding Bridge Head,Docking Adapter,"500 kg load, 0.5 bar seal","Main passenger boarding, starboard"
IFP-PAX-BRDG-003,Passenger Door 2L Boarding,Mechanical,Mid Fuselage Station 750,85-PAX-BRDG-001,85-CONN-PAX-001-A,Boarding Bridge Head,Docking Adapter,"500 kg load, 0.5 bar seal","Aft passenger boarding, port"
IFP-GSE-PWR-001,GSE External Power,Electrical,Fwd Fuselage Station 250,85-GSE-PWR-001,85-RCPT-APT-001-A,Mobile GPU Cable,SAE AS50001,"115/200V AC or 28V DC, 200-400A","Mobile ground power unit, nose"
IFP-GSE-DATA-001,GSE Maintenance Data Port,Data,Nose Landing Gear,85-GSE-DATA-001,85-RCPT-APT-010-A,Maintenance Laptop Cable,RJ45 or D-sub 9,CAN-FD or Ethernet,"Diagnostics access, nose gear"
IFP-H2-SFTY-001,H₂ Leak Sensor 1,Sensor,Fwd Fuselage Station 440,85-H2-SFTY-001,85-SENS-H2S-010,Aircraft Safety System,4-20mA + CAN-FD,"0-4% H₂ detection","Near fueling receptacle, starboard"
IFP-H2-SFTY-002,H₂ Leak Sensor 2,Sensor,Fwd Fuselage Station 440,85-H2-SFTY-001,85-SENS-H2S-010,Aircraft Safety System,4-20mA + CAN-FD,"0-4% H₂ detection","Near fueling receptacle, port"
IFP-CO2-DATA-001,CO₂ Battery BMS Data,Data,Fwd Fuselage Station 350,85-CO2-DATA-001,85-RCPT-APT-010-A,Ground BMS Monitor,RJ45 Ethernet,CAN-FD over Ethernet,"Battery diagnostics, starboard"
