Standard ID,Standard Title,Version,Domain,Owner,Last Reviewed,Impacts Which Docs,Coverage Status,Notes
CS-25.301,Loads - General,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-001, STR-002, STR-003, STR-004, TN-003, CERT-002",Required,Primary airworthiness standard for loads
CS-25.303,Factor of Safety,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-001, STR-002, STR-003, STR-004, CERT-002",Required,Ultimate load = 1.5 × limit load
CS-25.305,Strength and Deformation,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-001, STR-002, STR-003, CERT-002",Required,Deformation limits under limit load
CS-25.307,Proof of Structure,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-001, CERT-002",Required,Analysis and/or test requirements
CS-25.321,General Flight Loads,Amendment 27,STRUCTURAL,Aero Lead,2025-11-10,"TN-003, CERT-001",Required,Flight envelope definition
CS-25.331,Symmetric Maneuvering,Amendment 27,STRUCTURAL,Aero Lead,2025-11-10,"AERO-001, TN-003, CERT-001",Required,"VA, VC, VD speed definitions"
CS-25.333,Flight Maneuver Envelope,Amendment 27,STRUCTURAL,Aero Lead,2025-11-10,"AERO-001, TN-003",Required,V-n diagram
CS-25.335,Design Airspeeds,Amendment 27,STRUCTURAL,Aero Lead,2025-11-10,"AERO-001, PERF-001, TN-003",Required,"VD, VC, VA, VS definitions"
CS-25.337,Limit Maneuvering Factors,Amendment 27,STRUCTURAL,Aero Lead,2025-11-10,"TN-003, CERT-001",Required,"n_z limits (+2.5/-1.0 to +3.8/-1.5)"
CS-25.341,Gust and Turbulence Loads,Amendment 27,STRUCTURAL,Aero Lead,2025-11-10,"AERO-001, TN-003",Required,Discrete and continuous gust
CS-25.345,High-Lift Devices,Amendment 27,AERO,Aero Lead,2025-11-10,"AERO-004, PERF-002, PERF-003",Required,Flap/slat loads and performance
CS-25.349,Rolling Conditions,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-002, TN-003",Required,Aileron deflection loads
CS-25.351,Yaw Maneuver Conditions,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-001, TN-003",Required,Rudder deflection loads
CS-25.363,Side Load on Engine Mount,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-001, TN-003",Required,Adapt for fuel cell nacelles
CS-25.365,Pressurization Loads,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-003, TN-003",Required,Cabin pressure differential
CS-25.369,Rear Lifting Surface,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,N/A,N/A,BWB configuration - no conventional tail
CS-25.371,Gyroscopic Loads,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-001, TN-003",N/A,Not applicable to fuel cell propulsion
CS-25.391,Control Surface Loads,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-001, TN-003",Required,Hinge moments and deflections
CS-25.415,Ground Gust Conditions,Amendment 27,STRUCTURAL,Aero Lead,2025-11-10,"TN-003",Required,Control surface on ground
CS-25.427,Unsymmetrical Loads,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-002, TN-003",Required,Lateral load distribution
CS-25.441,Maneuvering Loads,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-002, TN-003",Required,Wing torsion and bending
CS-25.445,Outboard Fins or Wing-Lets,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,N/A,N/A,No winglets in current design
CS-25.453,Landing Gear - General,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-004, CLR-001, TN-003",Required,Ground loads overview
CS-25.471,Ground Loads,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-004, CLR-001, TN-003",Required,Landing gear design loads
CS-25.473,Landing Load Conditions,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-004, CLR-002, TN-003",Required,Level and tail-down landings
CS-25.477,Landing Gear Arrangement,Amendment 27,CLEARANCE,Geom Lead,2025-11-10,"CLR-001, CLR-002, TS-001",Required,Rotation and tip-over angles
CS-25.479,Level Landing Conditions,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-004, TN-003",Required,Symmetric landing loads
CS-25.481,Tail-Down Landing Conditions,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-004, CLR-001, TN-003",Required,Rotation landing loads
CS-25.483,One-Gear Landing Conditions,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-004, TN-003",Required,Asymmetric landing loads
CS-25.485,Side Load Conditions,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-004, TN-003",Required,Drift landing loads
CS-25.493,Braked Roll Conditions,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-004, TN-003",Required,Braking loads
CS-25.495,Turning,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-004, CLR-002, TN-003",Required,Ground turning loads
CS-25.497,Tail-Wheel Yawing,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,N/A,N/A,Nose-wheel configuration
CS-25.499,Nose-Wheel Yawing,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-004, TN-003",Required,Nose gear steering loads
CS-25.503,Pivoting,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-004, CLR-002",Required,Sharp turn on ground
CS-25.507,Jacking and Tie-Down Loads,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-001, TN-003",Required,Maintenance loads
CS-25.519,Jacking Loads,Amendment 27,STRUCTURAL,Structures Lead,2025-11-10,"STR-001, TN-003",Required,Jacking point design
