Aircraft_ID,Installation_Date,Software_Version,Status,Next_Update,Fleet_Integration_Phase
AMPEL-001,2026-07-01,CAOS_v1.0,Scheduled,2026-10-01,Phase_1_Lead_Aircraft
AMPEL-002,2026-07-08,CAOS_v1.0,Scheduled,2026-10-08,Phase_1_Lead_Aircraft
AMPEL-003,2026-07-15,CAOS_v1.0,Scheduled,2026-10-15,Phase_1_Lead_Aircraft
AMPEL-004,2026-07-22,CAOS_v1.0,Scheduled,2026-10-22,Phase_2_Early_Fleet
AMPEL-005,2026-07-29,CAOS_v1.0,Scheduled,2026-10-29,Phase_2_Early_Fleet
AMPEL-006,2026-08-05,CAOS_v1.1,Scheduled,2026-11-05,Phase_2_Early_Fleet
AMPEL-007,2026-08-12,CAOS_v1.1,Scheduled,2026-11-12,Phase_3_Full_Fleet
AMPEL-008,2026-08-19,CAOS_v1.1,Scheduled,2026-11-19,Phase_3_Full_Fleet
AMPEL-009,2026-08-26,CAOS_v1.1,Scheduled,2026-11-26,Phase_3_Full_Fleet
AMPEL-010,2026-09-02,CAOS_v1.1,Scheduled,2026-12-02,Phase_3_Full_Fleet
