Structure ID,Structure Name,Parent ATA,95-20 Subsystem,95-00-13 Component,Requirement ID,Drawing ID,Test ID,Status
95-50-21-A-001,ECS Duct Assembly,ATA 21,95-20-21-001,95-00-13-021-001,REQ-95-50-21-001,DWG-95-50-21-101,TEST-95-50-21-001,Approved
95-50-21-A-002,ECS Sensor Rack,ATA 21,95-20-21-002,95-00-13-021-002,REQ-95-50-21-002,DWG-95-50-21-102,TEST-95-50-21-002,Approved
95-50-24-A-001,Electrical Rack,ATA 24,95-20-80-001,95-00-13-024-001,REQ-95-50-24-001,DWG-95-50-24-101,TEST-95-50-24-001,Approved
95-50-24-A-002,Cable Tray,ATA 24,95-20-80-002,95-00-13-024-002,REQ-95-50-24-002,DWG-95-50-24-102,TEST-95-50-24-002,Approved
95-50-28-A-001,H2 Tank Support,ATA 28,95-20-28-001,95-00-13-028-001,REQ-95-50-28-001,DWG-95-50-28-101,TEST-95-50-28-001,In Review
95-50-28-A-002,Manifold Rack,ATA 28,95-20-28-002,95-00-13-028-002,REQ-95-50-28-002,DWG-95-50-28-102,TEST-95-50-28-002,In Review
95-50-31-A-001,Recorder Rack,ATA 31,95-20-31-001,95-00-13-031-001,REQ-95-50-31-001,DWG-95-50-31-101,TEST-95-50-31-001,Approved
95-50-31-A-002,Data Module Carrier,ATA 31,95-20-31-002,95-00-13-031-002,REQ-95-50-31-002,DWG-95-50-31-102,TEST-95-50-31-002,Approved
95-50-42-A-001,IMA Rack,ATA 42,95-20-42-001,95-00-13-042-001,REQ-95-50-42-001,DWG-95-50-42-101,TEST-95-50-42-001,Approved
95-50-42-A-002,LRU Chassis,ATA 42,95-20-42-002,95-00-13-042-002,REQ-95-50-42-002,DWG-95-50-42-102,TEST-95-50-42-002,Approved
95-50-46-A-001,Server Rack,ATA 46,95-20-46-001,95-00-13-046-001,REQ-95-50-46-001,DWG-95-50-46-101,TEST-95-50-46-001,Approved
95-50-46-A-002,Operator Console,ATA 46,95-20-46-002,95-00-13-046-002,REQ-95-50-46-002,DWG-95-50-46-102,TEST-95-50-46-002,Approved
95-50-49-A-001,APU Mount,ATA 49,95-20-49-001,95-00-13-049-001,REQ-95-50-49-001,DWG-95-50-49-101,TEST-95-50-49-001,Approved
95-50-49-A-002,APU Duct,ATA 49,95-20-49-002,95-00-13-049-002,REQ-95-50-49-002,DWG-95-50-49-102,TEST-95-50-49-002,Approved
95-50-53-A-001,Equipment Bay Structure,ATA 53,Multiple,Multiple,REQ-95-50-53-001,DWG-95-50-53-101,TEST-95-50-53-001,Approved
95-50-53-A-002,Reinforcement Kit,ATA 53,Multiple,Multiple,REQ-95-50-53-002,DWG-95-50-53-102,TEST-95-50-53-002,Approved
95-50-57-A-001,Wing Sensor Mount,ATA 57,95-20-57-001,95-00-13-057-001,REQ-95-50-57-001,DWG-95-50-57-101,TEST-95-50-57-001,Approved
95-50-57-A-002,Antenna Fairing,ATA 57,95-20-57-002,95-00-13-057-002,REQ-95-50-57-002,DWG-95-50-57-102,TEST-95-50-57-002,Approved
95-50-70-A-001,Pylon Equipment Bracket,ATA 71,95-20-70-001,95-00-13-071-001,REQ-95-50-70-001,DWG-95-50-70-101,TEST-95-50-70-001,In Review
95-50-70-A-002,Nacelle Sensor Mount,ATA 71,95-20-70-002,95-00-13-071-002,REQ-95-50-70-002,DWG-95-50-70-102,TEST-95-50-70-002,In Review
