Doc_ID,Version,Date,Author,Changes,Approved_By,CR_Reference
02-00-00-README,1.0.0,2025-09-01,J. Smith,Initial release,CCB,N/A
02-00-01-OVERVIEW,1.0.0,2025-09-15,J. Smith,Initial release,CCB,N/A
02-00-01-OVERVIEW,1.1.0,2025-10-01,J. Smith,Added CAOS integration section,CCB,CR-02-00-015
02-00-01-OVERVIEW,1.2.0,2025-10-20,J. Smith,Updated operations philosophy,CCB,CR-02-00-028
02-00-02-SAFETY,1.0.0,2025-09-20,M. Garcia,Initial release,CCB,N/A
02-00-02-SAFETY,2.0.0,2025-10-25,M. Garcia,Major H2 safety update,CCB,CR-02-00-035
02-00-03-REQUIREMENTS,1.0.0,2025-09-25,D. Lee,Initial release,CCB,N/A
02-00-03-REQUIREMENTS,1.1.0,2025-10-05,D. Lee,Added 50 new requirements,CCB,CR-02-00-018
02-00-03-REQUIREMENTS,1.5.0,2025-11-01,D. Lee,Requirements restructure,CCB,CR-02-00-042
02-00-04-DESIGN,1.0.0,2025-10-01,E. Brown,Initial release,CCB,N/A
02-00-04-DESIGN,1.3.0,2025-11-03,E. Brown,Updated design standards,CCB,CR-02-00-048
02-00-05-INTERFACES,1.0.0,2025-10-15,T. Anderson,Initial release,CCB,N/A
02-00-05-INTERFACES,1.1.0,2025-11-04,T. Anderson,Added 5 new ICDs,CCB,CR-02-00-051
