# 61-20-01 Electric Motor — Efficiency Map
# AMPEL360 BWB H₂ Hy-E Q100 Programme
# OPT-IN Framework v1.2
#
# Efficiency (%) as function of Speed (rpm) and Torque (Nm)
# Columns: Speed_rpm, Torque_Nm, Efficiency_percent, Power_kW, Losses_kW
#
Speed_rpm,Torque_Nm,Efficiency_percent,Power_kW,Losses_kW
1200,2000,91.5,251,23
1200,4000,93.2,503,36
1200,6000,94.1,754,47
1200,8000,94.5,1005,58
1200,10000,94.8,1257,68
1200,12000,94.9,1508,80
1800,2000,92.8,377,28
1800,4000,94.2,754,46
1800,6000,95.0,1131,60
1800,8000,95.4,1508,73
1800,10000,95.6,1885,87
1800,12000,95.7,2262,101
2400,2000,93.5,503,35
2400,4000,95.0,1005,53
2400,6000,95.7,1508,68
2400,8000,96.1,2011,82
2400,10000,96.3,2513,96
2400,12000,96.4,3016,113
3000,2000,94.0,628,40
3000,4000,95.5,1257,59
3000,6000,96.2,1885,74
3000,8000,96.5,2513,91
3000,10000,96.7,3142,108
3600,2000,94.2,754,46
3600,4000,95.8,1508,66
3600,6000,96.4,2262,85
3600,8000,96.7,3016,103
3600,10610,96.5,4000,144
4200,2000,94.0,880,55
4200,4000,95.5,1759,83
4200,6000,96.1,2639,108
4200,8000,96.3,3519,135
4200,9095,96.2,4000,158
