Part_Number,Description,Revision,Effectivity,Quantity,Unit,DP_Reference,Supplier,Lead_Time_Days
52-10-01-1000,Door Assembly Complete,A,All,1,EA,DP-CMP-52-10-01-001,AMPEL360,180
52-10-01-1100,Panel Assembly,A,All,1,EA,DP-CMP-52-10-01-002,AMPEL360,90
52-10-01-1110,CFRP Face Sheet Outer,A,All,1,EA,DP-MAT-52-10-01-001,Hexcel,60
52-10-01-1120,CFRP Face Sheet Inner,A,All,1,EA,DP-MAT-52-10-01-001,Hexcel,60
52-10-01-1130,Nomex Honeycomb Core,A,All,1,EA,DP-MAT-52-10-01-002,DuPont,45
52-10-01-1140,Adhesive Film EA9396,A,All,2.5,kg,DP-MAT-52-10-01-003,3M,30
52-10-01-1150,Titanium Insert Kit,A,All,24,EA,DP-MAT-52-10-01-004,TitaniumWorks,75
52-10-01-1200,Latch System Complete,B,All,1,EA,DP-CMP-52-10-01-003,AeroLatch,120
52-10-01-1210,Latch Mechanism,B,All,3,EA,N/A,AeroLatch,90
52-10-01-1220,Latch Actuator,A,All,3,EA,N/A,MicroActuation,60
52-10-01-1300,Actuation System,A,All,1,EA,DP-CMP-52-10-01-004,PowerDrive,150
52-10-01-1310,Electric Motor,A,All,2,EA,N/A,SiemensAero,90
52-10-01-1320,Gearbox Assembly,A,All,2,EA,N/A,PowerDrive,120
52-10-01-1330,Position Sensor,A,All,6,EA,N/A,HoneywellAero,45
52-10-01-1400,Sensor Network,A,All,1,EA,DP-CMP-52-10-01-005,AMPEL360,60
52-10-01-1410,Door Position Sensor,A,All,4,EA,N/A,HoneywellAero,30
52-10-01-1420,Load Sensor,A,All,8,EA,N/A,StrainGauge,30
52-10-01-1430,Temperature Sensor,A,All,6,EA,N/A,Thermotech,21
52-10-01-1440,Vibration Sensor,A,All,4,EA,N/A,PiezoTech,28
52-10-01-1500,Door Controller ECU,A,All,1,EA,DP-SW-52-10-01-003,AMPEL360,90
52-10-01-1600,Lightning Protection,A,All,1,KIT,DP-MAT-52-10-01-005,DexmetAero,42
52-10-01-1700,Seal Kit Complete,A,All,1,KIT,DP-MAT-52-10-01-006,AeroSeals,35
52-10-01-1710,Door Seal Primary,A,All,1,EA,DP-MAT-52-10-01-006,AeroSeals,28
52-10-01-1720,Weather Seal,A,All,1,EA,DP-MAT-52-10-01-006,AeroSeals,28
52-10-01-1800,Hinge Assembly,A,All,3,EA,N/A,AeroHinge,105
52-10-01-1810,Hinge Pin Titanium,A,All,6,EA,DP-MAT-52-10-01-004,TitaniumWorks,45
52-10-01-1900,Fastener Kit,A,All,1,KIT,N/A,FastenerSupply,14
52-10-01-1910,Bolt Ti M8x25,A,All,48,EA,N/A,FastenerSupply,14
52-10-01-1920,Nut Ti M8,A,All,48,EA,N/A,FastenerSupply,14
52-10-01-1930,Washer Ti M8,A,All,96,EA,N/A,FastenerSupply,14
