Process_Step,Function,Failure_Mode,Effect,Severity,Cause,Occurrence,Current_Control,Detection,RPN,Action
Layup,Orient_plies,Wrong_angle,Reduced_strength,9,Human_error,4,Laser_template,3,108,Laser_projection
Layup,Consolidate,Wrinkles,Stress_concentration,8,Poor_technique,3,Training,4,96,Debulk_procedure
Cure,Polymerize,Under_cure,Low_strength,9,Temp_too_low,2,Thermocouples,2,36,Validated_cycle
Cure,Consolidate,Voids,Reduced_properties,7,Low_pressure,3,Pressure_monitor,2,42,Pressure_alarms
Trim,Cut_edge,Delamination,Crack_initiation,8,Wrong_tool,3,Tool_spec,3,72,Diamond_tools
Assembly,Drill_holes,Crack,Structural_failure,9,Feed_too_fast,2,Procedure,4,72,Controlled_feed
Assembly,Install_inserts,Loose_fit,Load_transfer_loss,8,Oversize_hole,2,Go/no-go,2,32,Gauge_check
Bonding,Apply_adhesive,Insufficient,Debond,9,Coverage_gap,3,Visual_check,5,135,Coverage_template
NDT,Inspect,Miss_defect,Failure_in_service,10,Poor_calibration,2,Cal_standard,3,60,Daily_cal_check
Test,Pressure,Leak,Pressurization_loss,7,Seal_damage,3,Leak_test,1,21,100%_test
