KPI_Category,KPI_Name,Metric_Type,Target_Value,Current_Value,Unit,Measurement_Frequency,Trending,Status,Notes
Flight Safety,Accident Rate,Lagging,<0.1,0.0,per million flights,Monthly,Stable,Green,Zero accidents since start of operations
Flight Safety,Serious Incident Rate,Lagging,<1.0,0.3,per million flights,Monthly,Stable,Green,Below industry average
H2 Safety,H2 Leak Events,Lagging,0,0,per 100000 FH,Monthly,Stable,Green,No leak events to date
H2 Safety,Refueling Safety Deviations,Leading,<1,0.5,per 1000 refuelings,Weekly,Improving,Green,Minor procedural deviations only
H2 Safety,Leak Detection System Availability,Leading,>99.9,99.95,%,Daily,Stable,Green,Exceeds target
H2 Safety,Ventilation System Reliability,Leading,>99.5,99.8,%,Daily,Stable,Green,Exceeds target
Fuel Cell Safety,In-Flight FC Shutdown Rate,Lagging,<1,0.2,per 50000 FH,Monthly,Stable,Green,Well below target
Fuel Cell Safety,FC Overtemperature Events,Leading,<1,0.8,per 10000 FH,Monthly,Stable,Green,All successfully managed
Fuel Cell Safety,FC Stack MTBF,Lagging,>20000,22500,hours,Quarterly,Improving,Green,Exceeding target
CAOS Safety,CAOS Safety Events,Lagging,0,0,per 10000 FH,Monthly,Stable,Green,No safety events attributed to CAOS
CAOS Safety,Safety Monitor Interventions,Leading,<5,2,per 10000 FH,Monthly,Stable,Green,Low intervention rate indicates CAOS reliability
CAOS Safety,Crew Override Rate,Leading,N/A,3.5,%,Monthly,Stable,Green,Appropriate override usage
BWB Safety,Tail Strike Events,Lagging,0,0,events,Monthly,Stable,Green,No tail strikes
BWB Safety,Unstable Approach Rate,Leading,<3,2.1,% of approaches,Monthly,Improving,Green,Below target
BWB Safety,Hard Landing Rate,Leading,<2,1.5,per 1000 landings,Monthly,Stable,Green,Below target
BWB Safety,CG Exceedance Events,Leading,0,0,events,Monthly,Stable,Green,CAOS monitoring effective
Training,Safety Training Completion,Leading,100,98.5,%,Monthly,Stable,Yellow,Target 100% by month end
Training,H2 Safety Certification,Leading,100,100,%,Monthly,Stable,Green,All ground crew certified
Training,CRM Training Current,Leading,100,99.2,%,Monthly,Stable,Green,Minor scheduling delays
Culture,Safety Report Submission Rate,Leading,>20,24.5,per 1000 FH,Monthly,Improving,Green,Excellent reporting culture
Culture,Just Culture Index,Leading,>80,85,score 0-100,Quarterly,Improving,Green,Based on employee survey
Culture,Safety Audit Findings Closure,Leading,>95,97,%,Monthly,Stable,Green,Within 30 days target met
Operations,Emergency Evacuation Drill Time,Leading,<90,78,seconds,Annually,Stable,Green,Meets certification requirement
Operations,Operational Deviation Rate,Leading,<5,3.2,per 1000 flights,Monthly,Improving,Green,Declining trend positive
Maintenance,H2 System Unscheduled Maintenance,Leading,<10,7,events per month,Monthly,Stable,Green,Below target
Maintenance,FC System Unscheduled Maintenance,Leading,<15,12,events per month,Monthly,Stable,Green,Below target
Regulatory,Regulatory Violations,Lagging,0,0,violations,Monthly,Stable,Green,Full regulatory compliance
Regulatory,Audit Findings (Major),Leading,0,0,findings,Per audit,Stable,Green,No major findings
Human Factors,Crew Fatigue Reports,Leading,Monitor trend,8,reports per month,Monthly,Stable,Green,No concerning trends
Human Factors,Workload-Related Events,Leading,<2,1,per 10000 FH,Monthly,Stable,Green,Low workload issues
