Parameter,Design_Value,Safety_Factor,Ultimate_Value,Margin_%,Certification_Requirement
Burst_Pressure_bar,16,2.0,32,100,2x MEOP
Proof_Pressure_bar,12,1.5,18,50,1.5x MEOP
Structural_Load,Limit,1.5,Ultimate,50,CS-25 requirement
Fatigue_Life_cycles,30000,3.0,90000,200,3x design life
Reserve_Fuel_kg,413,1.18,488,18,Regulatory + operational
Temperature_Margin_K,±10,Variable,±15,50,Operating band margin
Pressure_Margin_bar,1.6,1.2,2.0,25,Operating margin
CG_Limits_%MAC,17,0.85,20,18,Conservative limits
Boiloff_Allowance_%,0.4,1.25,0.5,25,Design margin
Sensor_Redundancy,Dual,1.5,Triple,50,Triple redundant
