Interface_ID,Interface_Name,Category,Requirement_IDs,Design_IDs,Implementation_IDs,Test_IDs,Status,Owner,Criticality
95-00-05-01-001,Data Sources Catalog,DATA,"REQ-001,REQ-002,REQ-015",DES-101,IMPL-201,"TEST-301,TEST-302",ACTIVE,Data Engineering,DAL C
95-00-05-01-002,Data Sinks Catalog,DATA,"REQ-002,REQ-016",DES-102,IMPL-202,TEST-303,ACTIVE,Data Engineering,DAL C
95-00-05-01-003,Feature Schemas,DATA,"REQ-003,REQ-017",DES-103,IMPL-203,"TEST-304,TEST-305",ACTIVE,Data Engineering,DAL B
95-00-05-01-004,Data Contracts,DATA,"REQ-004,REQ-018",DES-104,IMPL-204,TEST-306,ACTIVE,Data Engineering,DAL B
95-00-05-01-005,Data Lineage Map,DATA,"REQ-005,REQ-019",DES-105,IMPL-205,TEST-307,ACTIVE,Data Engineering,DAL C
95-00-05-01-006,Interface Control Document ICD,DATA,"REQ-006,REQ-020",DES-106,IMPL-206,"TEST-308,TEST-309",ACTIVE,Systems Engineering,DAL B
95-00-05-01-007,ARINC 664 AFDX Mapping,DATA,"REQ-007,REQ-021,REQ-050",DES-107,IMPL-207,"TEST-310,TEST-311",ACTIVE,Avionics Integration,DAL B
95-00-05-02-001,Input Specifications,MODEL,"REQ-010,REQ-030",DES-201,IMPL-301,"TEST-401,TEST-402",ACTIVE,AI/ML Team,DAL B
95-00-05-02-002,Output Specifications,MODEL,"REQ-011,REQ-031",DES-202,IMPL-302,"TEST-403,TEST-404",ACTIVE,AI/ML Team,DAL B
95-00-05-02-003,PrePost Processing Pipelines,MODEL,"REQ-012,REQ-032",DES-203,IMPL-303,TEST-405,ACTIVE,AI/ML Team,DAL B
95-00-05-02-004,Embedding Space Definition,MODEL,"REQ-013,REQ-033",DES-204,IMPL-304,TEST-406,ACTIVE,AI/ML Team,DAL C
95-00-05-02-005,Model to Model Interfaces,MODEL,"REQ-014,REQ-034",DES-205,IMPL-305,TEST-407,ACTIVE,AI/ML Team,DAL C
95-00-05-02-006,Model API Specification,MODEL,"REQ-015,REQ-035",DES-206,IMPL-306,"TEST-408,TEST-409,TEST-410",ACTIVE,AI/ML Team,DAL B
95-00-05-02-007,ONNX Runtime Interface,MODEL,"REQ-016,REQ-036",DES-207,IMPL-307,"TEST-411,TEST-412",ACTIVE,AI/ML Team,DAL B
95-00-05-03-001,Aircraft Systems Interfaces,SYSTEM,"REQ-020,REQ-040,REQ-041",DES-301,IMPL-401,"TEST-501,TEST-502",ACTIVE,Systems Integration,DAL B
95-00-05-03-002,Avionics Bus Integration,SYSTEM,"REQ-021,REQ-042,REQ-043",DES-302,IMPL-402,"TEST-503,TEST-504,TEST-505",ACTIVE,Avionics Integration,DAL B
95-00-05-03-003,Edge Compute HW IF,SYSTEM,"REQ-022,REQ-044",DES-303,IMPL-403,TEST-506,ACTIVE,Hardware Engineering,DAL B
95-00-05-03-004,Ground Systems Interfaces,SYSTEM,"REQ-023,REQ-045",DES-304,IMPL-404,TEST-507,ACTIVE,Ground Ops,DAL D
95-00-05-03-005,ATA 02 Operations IF,SYSTEM,"REQ-024,REQ-046",DES-305,IMPL-405,TEST-508,ACTIVE,Systems Integration,DAL C
95-00-05-03-006,ATA 28 Fuel System IF,SYSTEM,"REQ-025,REQ-047,REQ-048,REQ-049",DES-306,IMPL-406,"TEST-509,TEST-510,TEST-511",ACTIVE,Systems Integration,DAL B
95-00-05-03-007,ATA 31 Recording IF,SYSTEM,"REQ-026,REQ-051",DES-307,IMPL-407,TEST-512,ACTIVE,Systems Integration,DAL C
95-00-05-03-008,ATA 42 IMA IF,SYSTEM,"REQ-027,REQ-052,REQ-053",DES-308,IMPL-408,"TEST-513,TEST-514",ACTIVE,Avionics Integration,DAL B
