Standard_ID,Title,Organization,Description,Compliance_Status,Verification_Method,Evidence,Notes
ISO_19881,Gaseous_hydrogen_land_vehicle_fuel_containers,ISO,H2 storage container standards,Compliant,Design_review,Tank_certification,Cryogenic LH2 tanks certified
ISO_19880-8,Hydrogen_fueling_stations_fuel_quality,ISO,H2 fuel quality specifications,Compliant,Fuel_analysis,Supplier_certification,99.97% purity minimum
ISO_22734,Hydrogen_generators_water_electrolysis,ISO,H2 production standards,Reference,N/A,N/A,For ground H2 production (not aircraft)
ISO_14687,Hydrogen_fuel_quality_product_specification,ISO,H2 fuel quality requirements,Compliant,Fuel_testing,Lab_analysis,Regular quality checks
SAE_J2719,Hydrogen_fuel_quality_fuel_cell_vehicles,SAE,Fuel cell H2 quality,Compliant,Fuel_specification,Procurement_spec,Supplier contract requirement
SAE_J2601,Fueling_protocols_gaseous_hydrogen_vehicles,SAE,H2 refueling procedures,Adapted,Procedure_review,Refueling_manual,Aircraft-specific procedures
SAE_J2578,General_fuel_cell_vehicle_safety,SAE,Fuel cell safety requirements,Compliant,Safety_analysis,Safety_case,Fuel cell safety case
NFPA_2,Hydrogen_Technologies_Code,NFPA,Comprehensive H2 safety,Compliant,Safety_procedures,H2_safety_manual,Ground operations compliance
NFPA_55,Compressed_gases_cryogenic_fluids_code,NFPA,Cryogenic fluid handling,Compliant,Procedures,H2_handling_procedures,Cryogenic LH2 handling
EN_17127,Hydrogen_fuel_stations_safety,CEN,European H2 fueling safety,Compliant,Design_review,Refueling_system,Ground support equipment
IEC_62282-3-100,Fuel_cell_technologies_stationary_safety,IEC,Fuel cell safety (adapted),Reference,Safety_analysis,Fuel_cell_safety_case,Aviation adaptation
EIGA_Doc_06,Gaseous_hydrogen_stations,EIGA,H2 station design and operation,Reference,Procedures,Ground_ops_manual,Ground fueling reference
HGV_3.1,Hydrogen_filling_protocol_vehicles,Hydrogen_Europe,H2 vehicle fueling protocol,Adapted,Procedures,Refueling_procedures,Aircraft-specific adaptation
DOT_PHMSA,Pipeline_and_Hazardous_Materials_Safety,US_DOT,US H2 transport regulations,Reference,N/A,N/A,US operations (if applicable)
EC_79/2009,Type_approval_hydrogen_vehicles,EU,EU H2 vehicle regulations,Reference,Certification,EASA_SC,Aviation-specific certification
ASME_BPVC_VIII,Pressure_vessels,ASME,Pressure vessel design,Compliant,Design_analysis,Tank_design_report,H2 tanks designed to ASME
CGA_G-5.4,Hydrogen_vent_systems,CGA,H2 venting safety,Compliant,Design_review,Vent_system_design,Safe H2 dispersion
ASTM_D7652,Hydrogen_fuel_quality,ASTM,H2 fuel testing methods,Compliant,Testing_procedures,Lab_procedures,Quality assurance testing
ISO_16110,Hydrogen_generators_industrial,ISO,Industrial H2 generation,Reference,N/A,N/A,Not aircraft system
SAE_AS8559,Fuel_cell_power_systems_aircraft,SAE,Aircraft fuel cell standard (draft),Monitoring,Design_review,Design_compliance,Emerging standard - monitoring
RTCA_DO-160,Environmental_conditions_test,RTCA,Avionics environmental testing,Compliant,Testing,Test_reports,Fuel cell control systems tested
