Component,Load_Case,Applied_Stress_MPa,Allowable_MPa,Margin_of_Safety,Status,Notes
Panel_Face_Tension,Ultimate,348,2724,+6.8,PASS,See_STR-002
Panel_Face_Compression,Ultimate,348,1816,+4.2,PASS,See_STR-002
Core_Shear,Ultimate,1.64,1.2,-0.27,FAIL,Redesign_to_HRH-10-64
Hinge_Top,Ultimate,124,180,+0.45,PASS,See_STR-003
Hinge_Middle,Ultimate,82,180,+1.2,PASS,See_STR-003
Hinge_Bottom,Ultimate,124,180,+0.45,PASS,See_STR-003
Latch_Max,Ultimate,35.5,50,+0.41,PASS,See_STR-004
Edge_Band_Bearing,Ultimate,118,900,+6.6,PASS,See_STR-007
Edge_Band_Shearout,Ultimate,263,105,-0.60,FAIL,Add_Ti_inserts
Composite_0deg_Ply,Ultimate,418,2860,+5.7,PASS,See_STR-005
Deflection,Limit,15,25,+0.67,PASS,h/75_criterion
