Component,Weight_kg,CG_Longitudinal_m,CG_Lateral_mm,CG_Vertical_mm,Weighing_Date,Equipment_Used
Structure_Primary,45000,24.500,0,3200,2025-10-15,DPP-ME-002
Structure_Secondary,8000,28.000,0,3400,2025-10-15,DPP-ME-002
Propulsion_System,18000,30.500,0,2800,2025-10-15,DPP-ME-002
Fuel_System_Empty,3500,24.000,0,3000,2025-10-15,DPP-ME-002
Landing_Gear,12000,22.000,0,1500,2025-10-15,DPP-ME-002
Flight_Controls,2500,26.000,0,3500,2025-10-15,DPP-ME-002
Hydraulic_System,2000,25.000,0,3200,2025-10-15,DPP-ME-002
Electrical_System,4000,24.500,0,3600,2025-10-15,DPP-ME-002
Avionics,3000,18.000,0,4000,2025-10-15,DPP-ME-002
Environmental_Control,5000,28.000,0,3300,2025-10-15,DPP-ME-002
Oxygen_System,800,22.000,0,3800,2025-10-15,DPP-ME-002
Emergency_Equipment,1200,26.000,0,2500,2025-10-15,DPP-ME-002
Cabin_Interior,8000,24.000,0,3000,2025-10-15,DPP-ME-002
Seats_400pax,6000,24.000,0,2800,2025-10-15,DPP-ME-002
Galleys_4units,800,20.000,0,2900,2025-10-15,DPP-ME-002
Lavatories_12units,700,28.000,0,2900,2025-10-15,DPP-ME-002
TOTAL_BEW,120000,24.200,0,3100,2025-10-15,DPP-ME-002
