Employee_ID,Name,Position,Composite_L2,Composite_L3,NDT_L2,A&P_Mech,AS9100,Forklift,Paint_Cert,Status
EMP-001,TBD,Composite_Tech_Sr,Yes,Yes,No,No,No,No,No,Not_Hired
EMP-002,TBD,Composite_Tech_Sr,Yes,Yes,No,No,No,No,No,Not_Hired
EMP-003,TBD,Composite_Tech,Yes,No,No,No,No,No,No,Not_Hired
EMP-004,TBD,Composite_Tech,Yes,No,No,No,No,No,No,Not_Hired
EMP-005,TBD,Assembly_Mech_Sr,No,No,No,Yes,No,No,No,Not_Hired
EMP-006,TBD,Assembly_Mech,No,No,No,No,No,No,No,Not_Hired
EMP-007,TBD,Assembly_Mech,No,No,No,No,No,No,No,Not_Hired
EMP-008,TBD,Quality_Inspector,No,No,No,No,Yes,No,No,Not_Hired
EMP-009,TBD,NDT_Technician,No,No,Yes,No,No,No,No,Not_Hired
EMP-010,TBD,Material_Handler,No,No,No,No,No,Yes,No,Not_Hired
EMP-011,TBD,Paint_Technician,No,No,No,No,No,No,Yes,Not_Hired
EMP-012,TBD,Prod_Supervisor,No,No,No,No,Yes,No,No,Not_Hired
EMP-013,TBD,Quality_Engineer,No,No,No,No,Yes,No,No,Not_Hired
EMP-014,TBD,Mfg_Engineer,No,No,No,No,No,No,No,Not_Hired
EMP-015,TBD,Planner,No,No,No,No,No,No,No,Not_Hired
