CS25_Reference,Title,Applicability,Compliance_Method,Status,Evidence_Document,Special_Condition,Notes
CS-25.25,Weight Limits,Applicable,Analysis + Test,In Progress,CERT-02-10-101,None,MTOW/MLW/MZFW
CS-25.27,Center of Gravity Limits,Applicable,Analysis + Flight Test,In Progress,CERT-02-10-103,SC-BWB-002,Wide CG range 15-42% MAC
CS-25.101,General - Performance,Applicable,Flight Test,Planned,CERT-02-10-201,None,Range and performance
CS-25.103,Stall Speed,Applicable,Flight Test,Planned,CERT-02-10-202,None,VS landing config
CS-25.105,Takeoff,Applicable,Analysis + Flight Test,In Progress,CERT-02-10-201,None,Field length 2400m
CS-25.107,Takeoff Speeds,Applicable,Flight Test,Planned,Performance Data,None,V1/VR/V2 determination
CS-25.109,Accelerate-Stop,Applicable,Flight Test,Planned,Performance Data,None,Rejected takeoff
CS-25.111,Takeoff Path,Applicable,Analysis + Flight Test,Planned,Performance Data,None,Obstacle clearance
CS-25.113,Takeoff Distance,Applicable,Flight Test,Planned,CERT-02-10-201,None,2400m at MTOW
CS-25.115,Takeoff Flight Path,Applicable,Analysis,Planned,Performance Data,None,Net takeoff path
CS-25.117,Climb: General,Applicable,Flight Test,Planned,Performance Data,None,Climb gradients
CS-25.119,Landing Climb: All-Engines,Applicable,Flight Test,Planned,Performance Data,None,Go-around capability
CS-25.121,Climb: One-Engine-Inop,Applicable,Flight Test,Planned,Performance Data,None,Engine-out climb
CS-25.123,En-Route Flight Paths,Applicable,Analysis,Planned,Performance Data,None,Cruise performance
CS-25.125,Landing,Applicable,Flight Test,In Progress,CERT-02-10-102,None,Landing distance 1850m
CS-25.143,Control Forces,Applicable,Flight Test,Planned,Flight Test Report,SC-BWB-002,Wide CG range
CS-25.145,Longitudinal Control,Applicable,Flight Test,Planned,Flight Test Report,SC-BWB-002,CG envelope
CS-25.147,Directional/Lateral Control,Applicable,Flight Test,Planned,Flight Test Report,SC-BWB-001,BWB configuration
CS-25.149,Minimum Control Speed,Applicable,Flight Test,Planned,Flight Test Report,None,VMC determination
CS-25.161,Trim,Applicable,Flight Test,Planned,Flight Test Report,SC-BWB-002,Trim system
CS-25.171,General - Stability,Applicable,Analysis + Flight Test,In Progress,CERT-02-10-103,SC-BWB-002,Static margin
CS-25.173,Static Longitudinal Stability,Applicable,Flight Test,Planned,Flight Test Report,SC-BWB-002,Positive static margin
CS-25.175,Demonstration of Static Stability,Applicable,Flight Test,Planned,Flight Test Report,SC-BWB-002,CG envelope
CS-25.177,Static Lateral-Directional,Applicable,Flight Test,Planned,Flight Test Report,SC-BWB-001,BWB handling
CS-25.181,Dynamic Stability,Applicable,Flight Test,Planned,Flight Test Report,SC-BWB-001,Dutch roll damping
CS-25.201,Wings - Stall Demonstration,Applicable,Flight Test,Planned,Flight Test Report,SC-BWB-001,Stall characteristics
CS-25.203,Stall Characteristics,Applicable,Flight Test,Planned,Flight Test Report,SC-BWB-001,BWB stall behavior
CS-25.207,Stall Warning,Applicable,Flight Test,Planned,Flight Test Report,None,Warning 10 kt before stall
CS-25.231,Longitudinal Stability - Trim,Applicable,Flight Test,Planned,Flight Test Report,SC-BWB-002,Trim effectiveness
CS-25.233,Directional Stability - Sideslip,Applicable,Flight Test,Planned,Flight Test Report,SC-BWB-001,Lateral stability
CS-25.237,Wind Velocities,Applicable,Flight Test,Planned,Flight Test Report,None,Crosswind capability
CS-25.251,Vibration and Buffeting,Applicable,Ground + Flight Test,Planned,GVT + Flight Test,None,Buffet boundaries
CS-25.253,High-Speed Characteristics,Applicable,Flight Test,Planned,CERT-02-10-202,None,VMO/MMO validation
CS-25.255,Out-of-Trim Characteristics,Applicable,Flight Test,Planned,Flight Test Report,SC-BWB-002,Trim failures
CS-25.301,Loads - General,Applicable,Analysis + Test,In Progress,Structural Analysis,None,Design loads
CS-25.303,Factor of Safety,Applicable,Analysis,Compliant,Structural Analysis,None,1.5 ultimate factor
CS-25.305,Strength and Deformation,Applicable,Analysis + Test,In Progress,Static Test Report,None,Proof and ultimate loads
CS-25.307,Proof of Structure,Applicable,Static Test,Planned,Static Test Report,SC-BWB-001,BWB structure
CS-25.321,Flight Loads - General,Applicable,Analysis,In Progress,Load Analysis,None,Flight envelope loads
CS-25.331,Symmetric Maneuvering,Applicable,Analysis,In Progress,Load Analysis,None,+2.5g/-1.0g
CS-25.333,Flight Maneuvering Envelope,Applicable,Analysis,In Progress,Load Analysis,None,V-n diagram
CS-25.335,Design Airspeeds,Applicable,Analysis,In Progress,CERT-02-10-202,None,VD = 1.08 VMO
CS-25.337,Limit Maneuvering Factors,Applicable,Analysis,Compliant,Load Analysis,None,n limits established
CS-25.341,Gust Load Factors,Applicable,Analysis,In Progress,Load Analysis,None,50 ft/s EAS gusts
CS-25.365,Pressurization,Applicable,Analysis + Test,Planned,Pressure Test,SC-BWB-001,Non-cylindrical cabin
CS-25.471,Ground Loads - General,Applicable,Analysis,In Progress,Landing Gear Analysis,None,Ground load cases
CS-25.473,Ground Load Conditions,Applicable,Analysis + Test,In Progress,CERT-02-10-102,None,3.05 m/s sink rate
CS-25.485,Side Load Conditions,Applicable,Analysis,In Progress,Landing Gear Analysis,None,Lateral loads
CS-25.493,Braked Roll Conditions,Applicable,Analysis,In Progress,Landing Gear Analysis,None,Brake loads
CS-25.509,Towing Loads,Applicable,Analysis,Planned,Ground Handling,None,Tow loads
CS-25.511,Ground Load: Unsymmetrical,Applicable,Analysis,In Progress,Landing Gear Analysis,None,One gear collapse
CS-25.561,Emergency Landing - General,Applicable,Analysis + Test,Planned,Crash Test,SC-BWB-001,BWB crash worthiness
CS-25.562,Emergency Landing Dynamic,Applicable,Analysis + Test,Planned,Sled Test,SC-BWB-001,Seat/occupant loads
CS-25.563,Structural Ditching,Applicable,Analysis,Planned,Ditching Analysis,SC-BWB-001,Water landing
CS-25.571,Damage Tolerance - Metallic,Not Applicable,N/A,N/A,N/A,None,Composite structure
CS-25.573,Damage Tolerance - Composite,Applicable,Analysis + Test,In Progress,Composite Testing,SC-BWB-001,BWB composite structure
CS-25.603,Materials - General,Applicable,Test,In Progress,Material Testing,None,Material qualification
CS-25.605,Fabrication Methods,Applicable,Production,Planned,Manufacturing Plan,SC-BWB-001,Composite BWB fabrication
CS-25.607,Fasteners,Applicable,Analysis + Test,In Progress,Fastener Testing,None,Composite joints
CS-25.609,Protection of Structure,Applicable,Analysis,Planned,Corrosion Protection,None,Composite (no corrosion)
CS-25.611,Accessibility Provisions,Applicable,Design,In Progress,Design Review,SC-BWB-001,Access to systems
CS-25.613,Material Strength Properties,Applicable,Test,In Progress,Material Testing,None,Allowables database
CS-25.619,Special Factors,Applicable,Analysis,In Progress,Stress Analysis,None,Composite special factors
CS-25.621,Casting Factors,Not Applicable,N/A,N/A,N/A,None,Composite structure
CS-25.623,Bearing Factors,Applicable,Analysis + Test,In Progress,Bearing Tests,None,Composite bearing
CS-25.625,Fitting Factors,Applicable,Analysis,In Progress,Stress Analysis,None,Safety factors
CS-25.629,Aeroelastic Stability,Applicable,Analysis + Test,In Progress,Flutter Analysis,None,Flutter critical M0.95
CS-25.631,Bird Strike,Applicable,Analysis + Test,Planned,Bird Strike Test,SC-BWB-001,Wide windshield
CS-25.671,Control Systems - General,Applicable,Design + Test,In Progress,System Design,SC-BWB-001,Fly-by-wire
CS-25.672,Stability Augmentation,Applicable,Analysis + Test,In Progress,FBW Certification,SC-BWB-001,Flight control system
CS-25.675,Stops,Applicable,Design,In Progress,Design Review,None,Control limits
CS-25.677,Trim Systems,Applicable,Design + Test,In Progress,Trim System Test,SC-BWB-002,H2 fuel positioning
CS-25.679,Control System Locks,Applicable,Design,In Progress,Design Review,None,Ground locks
CS-25.683,Operation Tests,Applicable,Test,Planned,System Test,None,Functional testing
CS-25.685,Control System Details,Applicable,Design,In Progress,Design Review,SC-BWB-001,Elevon system
CS-25.697,Lift/Drag Devices - General,Applicable,Design + Test,Planned,System Test,SC-BWB-001,High-lift system
CS-25.699,Lift/Drag Device Indicator,Applicable,Design,Planned,Design Review,None,Flap position indication
CS-25.701,Flap Interconnection,Applicable,Design + Test,Planned,System Test,SC-BWB-001,Distributed flaps
CS-25.703,Takeoff Warning System,Applicable,Design + Test,Planned,System Test,None,Configuration warning
CS-25.721,General - Landing Gear,Applicable,Design + Test,In Progress,Landing Gear Design,None,Retractable gear
CS-25.723,Shock Absorption Tests,Applicable,Test,Planned,Drop Test,CERT-02-10-102,MLW drop test
CS-25.725,Limit Drop Test,Applicable,Test,Planned,Drop Test,None,Gear stroke
CS-25.727,Reserve Energy Absorption,Applicable,Test,Planned,Drop Test,None,Energy capacity
CS-25.729,Retracting Mechanism,Applicable,Design + Test,In Progress,System Test,None,Gear retraction
CS-25.731,Wheels,Applicable,Analysis,In Progress,CERT-02-10-002,None,Ground clearance
CS-25.733,Tires,Applicable,Analysis,In Progress,Tire Selection,None,Load rating
CS-25.735,Brakes,Applicable,Test,Planned,Brake Test,CERT-02-10-102,Energy absorption
CS-25.737,Skis,Not Applicable,N/A,N/A,N/A,None,No ski operation
CS-25.783,Doors,Applicable,Design + Test,Planned,Door Testing,SC-BWB-001,8 Type-I doors
CS-25.785,Seats/Berths/Safety Belts,Applicable,Test,Planned,Seat Testing,SC-BWB-001,Wide cabin config
CS-25.787,Stowage Compartments,Applicable,Design + Test,Planned,Compartment Test,None,Overhead bins
CS-25.789,Retention of Items,Applicable,Design,Planned,Design Review,None,Cargo restraint
CS-25.791,Passenger Info Signs,Applicable,Design,Planned,Design Review,SC-BWB-001,Wide cabin
CS-25.793,Floor Surfaces,Applicable,Design,Planned,Design Review,None,Slip resistance
CS-25.795,Security Considerations,Applicable,Design,Planned,Security Review,None,Cockpit door
CS-25.803,Emergency Evacuation,Applicable,Test,Planned,Evacuation Demo,SC-BWB-001,90-second demo
CS-25.807,Emergency Exits,Applicable,Design,In Progress,Exit Layout,SC-BWB-001,8 Type-I doors
CS-25.809,Emergency Exit Arrangement,Applicable,Design,In Progress,Exit Design,SC-BWB-001,Wide cabin
CS-25.810,Emergency Egress Assist,Applicable,Design,Planned,Design Review,SC-BWB-001,Escape slides
