Phase,Activity,Status,Notes,Blocker
Pre-Certification,Design_Validation,Not_Complete,AI_analysis_only,No_professional_FEA
Pre-Certification,Analysis_Completion,Not_Complete,Need_FEA_software,No_FEA_capability
Pre-Certification,Test_Planning,In_Progress,Draft_plans_ready,No_prototype
Pre-Certification,DER_Identification,Not_Started,Need_to_search,No_DER_engaged
Pre-Certification,Budget_Approval,Not_Complete,~500k_required,Funding_TBD
Design_Freeze,FEA_Validation,Not_Started,Replace_AI_estimates,Critical_blocker
Design_Freeze,Margin_Verification,Not_Started,After_FEA,Depends_on_FEA
Design_Freeze,Interface_Control,Not_Started,ICD_finalization,Design_changes_expected
Design_Freeze,Material_Selection,Partial,Al-Li_2099-T83_selected,Need_validation
Prototype,Manufacturing_Design,Not_Started,Need_design_freeze,Design_not_frozen
Prototype,Prototype_Fabrication,Not_Started,6_months_lead_time,No_design_freeze
Prototype,Assembly_Fixtures,Not_Started,Tooling_required,No_prototype
Test_Program,GVT_Planning,Not_Started,Critical_path_item,No_prototype
Test_Program,GVT_Execution,Not_Started,Resonance_risk,No_prototype
Test_Program,Static_Test_Setup,Not_Started,17_psi_ultimate,No_prototype
Test_Program,Fatigue_Test_Setup,Not_Started,120k_cycles,No_prototype
Test_Program,Environmental_Testing,Not_Started,Temp_humidity_salt,No_prototype
Test_Program,Functional_Testing,Not_Started,Operation_demo,No_prototype
Documentation,Drawing_Package,Not_Started,Engineering_drawings,Design_not_frozen
Documentation,Test_Reports,Not_Started,After_tests,No_testing
Documentation,Analysis_Reports,Not_Started,After_FEA,No_FEA
Documentation,Compliance_Statements,Not_Started,After_tests,Insufficient_evidence
DER_Review,Test_Plan_Approval,Not_Started,DER_signature_required,No_DER_engaged
DER_Review,Test_Witnessing,Not_Started,Critical_tests,No_DER_engaged
DER_Review,Report_Approval,Not_Started,8110-3_forms,No_DER_engaged
DER_Review,Conformity_Inspection,Not_Started,Final_inspection,No_DER_engaged
Authority,Initial_Meeting,Not_Started,EASA_coordination,No_application
Authority,TC_Application,Not_Started,Formal_submission,Incomplete_data
Authority,Compliance_Review,Not_Started,Authority_review,No_submission
Authority,Findings_Response,Not_Started,Address_findings,No_findings_yet
Authority,TC_Issuance,Not_Started,Final_approval,End_goal
