Parameter,Value,Unit,Formula,Notes
Cruise_Mach,0.82,-,Design cruise speed,At FL410
Cruise_Altitude_ft,41000,ft,Optimum cruise altitude,12497 m
Cruise_TAS_m_s,240.5,m/s,Mach × speed of sound,True airspeed at cruise
Cruise_Lift_to_Drag,23.5,-,From CFD analysis,L/D ratio at cruise CL
SFC_kg_kN_hr,18.5,kg/kN/hr,H2 turbofan engine,Specific fuel consumption
SFC_kg_N_s,5.139e-6,kg/N/s,SFC / 3600,Converted to SI units
g_m_s2,9.81,m/s²,Standard gravity,Gravitational acceleration
Weight_Initial_MTOW_kg,220000,kg,Maximum take-off weight,At brake release
Weight_Final_MLW_kg,190000,kg,Weight at end of cruise,Landing weight with reserves
Fuel_Burned_kg,30000,kg,MTOW - MLW,Total mission fuel
Reserve_Fuel_kg,5500,kg,5% + 30 min hold + alternate,Regulatory reserves
Mission_Fuel_kg,24500,kg,Fuel_Burned - Reserve,Usable fuel for mission
Weight_Ratio,1.158,-,W_initial / W_final,Natural log argument
Ln_Weight_Ratio,0.1466,-,ln(Weight_Ratio),Natural logarithm
Range_km,8020,km,Breguet equation,(V/g/SFC)×(L/D)×ln(W_i/W_f)
Range_nm,4330,nm,Range_km / 1.852,Nautical miles
Payload_kg,40000,kg,400 pax + baggage,Design payload
OEW_kg,120000,kg,Operating empty weight,Structural + systems + furnishings
