Data_Element_ID,Data_Element_Name,Definition,Data_Type,Unit_of_Measure,Valid_Range,Default_Value,Source_System,Target_System,Update_Frequency,Quality_Rule,Owner,Status
DD-85-001,H2_Tank_Level,Liquid hydrogen tank level measurement,Float,Percentage,0.0-100.0,NULL,LH2 Tank Level Sensor,SCADA System,Real-time (1s),Range check 0-100,H2 Operations,Active
DD-85-002,H2_Tank_Pressure,Hydrogen tank internal pressure,Float,Bar,0.0-10.0,NULL,Tank Pressure Sensor,SCADA System,Real-time (1s),Range check + alarm,H2 Operations,Active
DD-85-003,H2_Tank_Temperature,Liquid hydrogen tank temperature,Float,Celsius,-260.0--250.0,NULL,Tank Temperature Sensor,SCADA System,Real-time (1s),Cryogenic range check,H2 Operations,Active
DD-85-004,H2_Flow_Rate,Hydrogen mass flow rate during dispensing,Float,kg/h,0.0-1000.0,0.0,Flow Meter,Dispenser Control,Real-time (100ms),Flow continuity check,Fueling Operations,Active
DD-85-005,H2_Purity,Hydrogen fuel purity level,Float,Percentage,99.95-100.0,NULL,Gas Analyzer,Quality Control System,Per batch,ISO 14687 compliance,Quality Assurance,Active
DD-85-006,Electrical_Voltage,Electrical system voltage measurement,Float,Volts,400.0-480.0,NULL,Voltage Sensor,Electrical Distribution,Real-time (1s),Voltage tolerance check,Electrical Ops,Active
DD-85-007,Electrical_Current,Electrical system current draw,Float,Amperes,0.0-2000.0,0.0,Current Transformer,Electrical Distribution,Real-time (1s),Overcurrent protection,Electrical Ops,Active
DD-85-008,Electrical_Power,Active power consumption,Float,kW,0.0-2500.0,0.0,Power Meter,Energy Management,Real-time (5s),Power factor check,Energy Management,Active
DD-85-009,Electrical_Frequency,AC power frequency,Float,Hz,59.5-60.5,60.0,Frequency Meter,Electrical Distribution,Real-time (1s),Frequency deviation alarm,Electrical Ops,Active
DD-85-010,Emergency_Gen_Status,Emergency generator operational status,Enum,N/A,OFF|STANDBY|RUNNING,STANDBY,Generator Controller,Facility Management,Real-time (1s),State machine validation,Emergency Systems,Active
DD-85-011,Fire_Alarm_Status,Fire detection system alarm status,Boolean,N/A,TRUE|FALSE,FALSE,Fire Detection System,Safety System,Real-time (immediate),Alarm escalation rule,Fire Safety,Active
DD-85-012,H2_Leak_Detected,Hydrogen leak detection flag,Boolean,N/A,TRUE|FALSE,FALSE,H2 Leak Detectors,Safety System,Real-time (immediate),Emergency shutdown trigger,Safety Systems,Active
DD-85-013,H2_Leak_Concentration,Hydrogen gas concentration in air,Integer,PPM,0-1000,0,H2 Gas Sensor,Safety System,Real-time (1s),Safety threshold: 1000 ppm (0.25% LEL; LEL = 40000 ppm),Safety Systems,Active
DD-85-014,Ambient_Temperature,Outdoor ambient temperature,Float,Celsius,-40.0-50.0,NULL,Weather Station,Environmental Monitoring,Real-time (60s),Sensor health check,Facility Operations,Active
DD-85-015,Wind_Speed,Wind speed measurement,Float,m/s,0.0-50.0,NULL,Anemometer,Environmental Monitoring,Real-time (10s),Gust detection,Facility Operations,Active
DD-85-016,Wind_Direction,Wind direction in degrees from North,Float,Degrees,0.0-360.0,NULL,Wind Vane,Environmental Monitoring,Real-time (10s),Compass validation,Facility Operations,Active
