Safety_Zone_ID,From_Hazard,To_Protected_Item,Minimum_Distance_m,Recommended_Distance_m,Regulatory_Basis,Hazard_Type,Risk_Category,Mitigation_Measures,Verification_Method,Compliance_Status,Notes
SD-85-001,LH2 Storage Tank,Property Line,50,75,NFPA 2 Section 7.3.3,Fire/Explosion,High,Fire walls; blast barriers,Site survey + drawing review,TBD,Public safety separation
SD-85-002,LH2 Storage Tank,Buildings (Non-H2),25,40,NFPA 2 Section 7.3.3,Fire/Explosion,High,Fire-rated construction,Site survey + drawing review,TBD,Occupied structure protection
SD-85-003,LH2 Storage Tank,Other LH2 Tanks,15,25,NFPA 2 Section 7.3.3,Fire/Explosion,High,Fire suppression system,Site survey + drawing review,TBD,Tank-to-tank spacing
SD-85-004,LH2 Storage Tank,Air Intakes (HVAC),25,35,NFPA 2 Section 7.3.3,Gas Migration,Medium,Leak detection; ventilation,Site survey + drawing review,TBD,Prevent gas ingestion
SD-85-005,LH2 Storage Tank,Ignition Sources,8,15,NFPA 2 Section 7.3.3,Fire/Explosion,High,Bonding and grounding,Site survey + drawing review,TBD,Electrical isolation
SD-85-006,H2 Dispenser,Aircraft Parking Position,5,8,SAE AS 6858,Fire/Explosion,High,Breakaway coupling; ESD,Operational procedure,TBD,Safe fueling distance
SD-85-007,H2 Dispenser,Ignition Sources,8,12,NFPA 2 Section 8.4,Fire/Explosion,High,Explosion-proof equipment,Electrical inspection,TBD,Zone classification
SD-85-008,H2 Dispenser,Buildings (Occupied),15,25,NFPA 2 Section 8.4,Fire/Explosion,Medium,Fire walls; leak detection,Site survey,TBD,Personnel safety
SD-85-009,H2 Dispenser,Public Access Areas,25,40,NFPA 2 Section 8.4,Fire/Explosion,High,Physical barriers; signage,Site survey,TBD,Public exclusion zone
SD-85-010,H2 Vent Stack,Ground Level,5,8,NFPA 2 Section 10.2.3,Asphyxiation,Medium,Stack height design,Engineering calc,TBD,Dispersion modeling
SD-85-011,H2 Vent Stack,Air Intakes,15,25,NFPA 2 Section 10.2.3,Gas Migration,Medium,Stack orientation; prevailing wind,CFD analysis,TBD,Prevent gas ingestion
SD-85-012,H2 Vent Stack,Property Line,25,40,NFPA 2 Section 10.2.3,Gas Migration,Low,Atmospheric dispersion,Dispersion modeling,TBD,Off-site safety
SD-85-013,H2 Pipeline (Above Ground),Buildings,3,5,ASME B31.12 Section 7.6,Fire/Explosion,Medium,Pipe supports; fire protection,Installation inspection,TBD,Pipeline routing clearance
SD-85-014,H2 Pipeline (Above Ground),Electrical Equipment,1,2,ASME B31.12 Section 7.6,Fire/Explosion,Medium,Insulation; separation,Installation inspection,TBD,Electrical isolation
