Part_Number,Description,Material,Specification,Weight_kg,MTBF_hours,TBO_cycles,Supplier,Unit_Cost_EUR,DPP_ID
PN-52-10-01-201001,Latch_Hook,17-4PH_Stainless_Steel,AMS5643,1.2,50000,25000,LatchTech_GmbH,185,DPP-52-10-01-201001
PN-52-10-01-201002,Latch_Pin,4340_Steel,AMS6415,0.6,50000,25000,LatchTech_GmbH,95,DPP-52-10-01-201002
PN-52-10-01-201003,Spring_Assembly,Music_Wire,ASTM_A228,0.3,25000,15000,SpringWorks_Ltd,42,DPP-52-10-01-201003
PN-52-10-01-202001,Hinge_Arm,Ti-6Al-4V,AMS4911,3.5,100000,50000,TitanHinge_Systems,520,DPP-52-10-01-202001
PN-52-10-01-202002,Hinge_Pin,4340_Steel_Hardened,AMS6415,0.8,100000,50000,TitanHinge_Systems,125,DPP-52-10-01-202002
PN-52-10-01-202003,Bushings,Bronze_954,SAE_J462,0.15,50000,25000,BearingTech_Corp,28,DPP-52-10-01-202003
PN-52-10-01-203001,Motor_Assembly,Aluminum_Steel_Copper,MIL-M-7969,2.8,30000,N/A,AeroActuators_Ltd,1850,DPP-52-10-01-203001
PN-52-10-01-203002,Gearbox,Steel_Aluminum,MIL-G-6162,3.2,40000,N/A,AeroActuators_Ltd,1420,DPP-52-10-01-203002
PN-52-10-01-203003,Drive_Shaft,4340_Steel,AMS6415,0.8,60000,N/A,AeroActuators_Ltd,380,DPP-52-10-01-203003
PN-52-10-01-204001,Primary_Seal,Fluorosilicone_Rubber,AMS3325,3.2,10000,5000,SealDynamics_Inc,285,DPP-52-10-01-204001
PN-52-10-01-204002,Secondary_Seal,Silicone_Rubber,AMS3302,1.6,8000,4000,SealDynamics_Inc,145,DPP-52-10-01-204002
