Equipment_ID,Equipment_Name,Type,Qty,Unit_Cost_USD,Lead_Time_Weeks,Power_kW,Space_m2,Status
EQ-001,Freezer_Material_Storage,Storage,-18C,1,25000,4,5,20,Not_Procured
EQ-002,Climate_Control_Storage,Storage,23C_50RH,1,15000,4,3,50,Not_Procured
EQ-003,CMM_Coordinate_Measuring,Inspection,1,150000,12,2,25,Not_Procured
EQ-004,Ultrasonic_C-Scan_System,NDT,1,100000,16,5,15,Not_Procured
EQ-005,Paint_Booth,Finishing,1,75000,10,20,40,Not_Procured
EQ-006,Vacuum_System_Portable,Bagging,2,5000,4,2,5,Not_Procured
EQ-007,Torque_Wrench_Set,Assembly,3,3000,2,0,2,Not_Procured
EQ-008,Drill_Press_Benchtop,Machining,2,8000,6,2,8,Not_Procured
EQ-009,Hand_Tools_Complete,Assembly,5_sets,5000,2,0,10,Not_Procured
EQ-010,Material_Handling_Cart,Transport,5,1500,4,0,5,Not_Procured
EQ-011,Overhead_Crane_2T,Handling,1,25000,12,10,0,Not_Procured
EQ-012,Work_Benches,Furniture,10,2000,4,0,50,Not_Procured
EQ-013,Storage_Racks,Storage,1_system,10000,6,0,100,Not_Procured
EQ-014,Computer_Workstations,IT,5,3000,2,1,15,Not_Procured
EQ-015,MES_Software_System,IT,1_license,50000,8,0,0,Not_Procured
TOTAL,All_Equipment,Mixed,Multiple,480500,16,50,345,Planning
