Phase,Activity,Start_Date,End_Date,Duration_Weeks,Dependencies,Owner,Status,Critical_Path
Pre-Cert,FEA_Software_Selection,2026-01-01,2026-01-15,2,None,Engineering,Not_Started,Yes
Pre-Cert,FEA_Model_Development,2026-01-15,2026-03-31,11,FEA_Software_Selection,Engineering,Not_Started,Yes
Pre-Cert,Stress_Analysis,2026-04-01,2026-05-15,6,FEA_Model_Development,Engineering,Not_Started,Yes
Pre-Cert,Fatigue_Analysis,2026-04-01,2026-05-15,6,FEA_Model_Development,Engineering,Not_Started,Yes
Pre-Cert,Damage_Tolerance_Analysis,2026-04-01,2026-05-15,6,FEA_Model_Development,Engineering,Not_Started,Yes
Pre-Cert,Design_Freeze,2026-06-01,2026-06-15,2,Stress_Analysis,Engineering,Not_Started,Yes
DER,DER_Search_and_Selection,2026-01-01,2026-02-15,6,None,Certification,Not_Started,No
DER,DER_Engagement_Contract,2026-02-15,2026-03-31,6,DER_Search_and_Selection,Certification,Not_Started,No
DER,Test_Plan_Review,2026-06-15,2026-07-31,6,Design_Freeze,Certification,Not_Started,Yes
Authority,Pre-Application_Meeting,2026-07-01,2026-08-15,6,DER_Engagement_Contract,Certification,Not_Started,No
Authority,Certification_Basis_Agreement,2026-08-15,2026-09-30,6,Pre-Application_Meeting,Certification,Not_Started,No
Prototype,Manufacturing_Design,2026-06-15,2026-08-31,11,Design_Freeze,Manufacturing,Not_Started,Yes
Prototype,Tooling_Fabrication,2026-09-01,2026-10-31,8,Manufacturing_Design,Manufacturing,Not_Started,Yes
Prototype,Prototype_Fabrication,2026-11-01,2027-01-31,13,Tooling_Fabrication,Manufacturing,Not_Started,Yes
Testing,GVT_Setup,2027-01-01,2027-01-31,4,Prototype_Fabrication,Test,Not_Started,Yes
Testing,GVT_Execution,2027-02-01,2027-02-28,4,GVT_Setup,Test,Not_Started,Yes
Testing,GVT_Analysis,2027-03-01,2027-03-15,2,GVT_Execution,Test,Not_Started,Yes
Testing,GO_NO-GO_Decision,2027-03-15,2027-03-22,1,GVT_Analysis,Management,Not_Started,Yes
Testing,Static_Ultimate_Test_Setup,2027-03-01,2027-03-31,4,Prototype_Fabrication,Test,Not_Started,No
Testing,Static_Ultimate_Test,2027-04-01,2027-04-15,2,Static_Ultimate_Test_Setup,Test,Not_Started,Yes
Testing,Fatigue_Test_Setup,2027-04-01,2027-04-30,4,Prototype_Fabrication,Test,Not_Started,No
Testing,Fatigue_Test_Execution,2027-05-01,2027-10-31,26,Fatigue_Test_Setup,Test,Not_Started,Yes
Testing,Damage_Tolerance_Test,2027-05-01,2027-05-31,4,Prototype_Fabrication,Test,Not_Started,No
Testing,Environmental_Tests,2027-06-01,2027-07-31,8,Prototype_Fabrication,Test,Not_Started,No
Testing,Functional_Tests,2027-06-01,2027-06-30,4,Prototype_Fabrication,Test,Not_Started,No
Documentation,Test_Reports_Compilation,2027-11-01,2027-11-30,4,Fatigue_Test_Execution,Engineering,Not_Started,Yes
Documentation,Drawing_Package_Finalization,2027-09-01,2027-10-31,8,Static_Ultimate_Test,Engineering,Not_Started,No
Documentation,Analysis_Report_Finalization,2027-09-01,2027-10-31,8,Static_Ultimate_Test,Engineering,Not_Started,No
Documentation,Compliance_Matrix_Update,2027-11-01,2027-11-30,4,Test_Reports_Compilation,Certification,Not_Started,Yes
DER_Review,Test_Witnessing_GVT,2027-02-01,2027-02-28,4,GVT_Execution,Certification,Not_Started,Yes
DER_Review,Test_Witnessing_Ultimate,2027-04-01,2027-04-15,2,Static_Ultimate_Test,Certification,Not_Started,Yes
DER_Review,Report_Review_and_Approval,2027-12-01,2027-12-31,4,Compliance_Matrix_Update,Certification,Not_Started,Yes
DER_Review,8110-3_Forms_Signature,2028-01-01,2028-01-15,2,Report_Review_and_Approval,Certification,Not_Started,Yes
Authority,TC_Application_Submission,2027-12-15,2028-01-15,4,Compliance_Matrix_Update,Certification,Not_Started,Yes
Authority,Compliance_Review,2028-01-15,2028-03-15,8,TC_Application_Submission,Authority,Not_Started,Yes
Authority,Findings_Issuance,2028-03-15,2028-04-01,2,Compliance_Review,Authority,Not_Started,No
Authority,Finding_Resolution,2028-04-01,2028-05-15,6,Findings_Issuance,Certification,Not_Started,Yes
Authority,Final_Review,2028-05-15,2028-06-15,4,Finding_Resolution,Authority,Not_Started,Yes
Authority,TC_Issuance,2028-06-15,2028-06-30,2,Final_Review,Authority,Not_Started,Yes
Production,Manufacturing_Plan,2027-10-01,2027-12-31,13,Static_Ultimate_Test,Manufacturing,Not_Started,No
Production,Quality_System_Documentation,2027-10-01,2027-12-31,13,Static_Ultimate_Test,Quality,Not_Started,No
Production,Production_Test_Procedures,2027-10-01,2027-12-31,13,Static_Ultimate_Test,Quality,Not_Started,No
Airworthiness,ICA_Development,2028-01-01,2028-03-31,13,Report_Review_and_Approval,Tech_Pubs,Not_Started,No
Airworthiness,Maintenance_Manual_Input,2028-01-01,2028-03-31,13,Report_Review_and_Approval,Tech_Pubs,Not_Started,No
Airworthiness,Life_Limits_Definition,2028-01-01,2028-02-28,8,Report_Review_and_Approval,Engineering,Not_Started,No
