Component,Failure_Mode,NN_Specific_Cause,Local_Effect,System_Effect,Aircraft_Effect,Detection_Method,Compensation,Mitigation,Severity,Probability,DAL,Remarks
Input Preprocessing,Sensor data corruption,Sensor drift/failure,Incorrect input to NN,Wrong NN prediction,Depends on function,Sensor validation + cross-check,Use alternate sensor,Sensor redundancy (3x),Variable,10⁻⁵,B/C,Critical for all DAL A/B NNs
Input Preprocessing,Normalization error,Software bug in scaling,Out-of-range NN input,NN prediction invalid,OOD detection triggered,Range checking,Reject input/fallback,Input validation layer,Major,10⁻⁶,C,Pre-NN safety gate
Feature Extraction,Feature computation error,Numerical overflow/underflow,Corrupted features,Wrong NN output,Depends on function,Reasonableness check,Use raw inputs,Defensive programming + BIT,Major,10⁻⁶,C,Critical path verification
Neural Network Core,Model degradation,Concept drift over time,Reduced accuracy,Performance below threshold,Graceful degradation,Performance monitoring,Retrain model,Continuous monitoring + update process,Major,10⁻⁴,C,Expected over lifecycle
Neural Network Core,OOD input,Input outside training distribution,Unpredictable output,Safety monitor triggers,Fallback to conventional,Distribution shift detection,Switch to conventional,OOD detection + fallback,Major,10⁻⁴,C,Boundary condition
Neural Network Core,Adversarial input,Malicious crafted input,Forced misclassification,Incorrect decision,Depends on function,Adversarial detector,Reject input,Input sanitization + adversarial training,Hazardous,10⁻⁷,B,Security critical
Neural Network Core,Hardware bit flip,Radiation/EMI on GPU,Computation error,Wrong NN output,Safety monitor catches,Output validation + ECC,Use redundant channel,ECC memory + TMR + monitor,Hazardous,10⁻⁷,B,SEU mitigation
Neural Network Core,Model loading error,Corrupted weights file,Completely wrong behavior,System fails BIT,Aircraft does not dispatch,Startup BIT + checksum,Do not enable NN,Cryptographic verification,Catastrophic (if not detected),10⁻⁹,A,Pre-flight check
Output Layer,Confidence miscalibration,Poor uncertainty estimate,Overconfident wrong prediction,False sense of reliability,Crew trusts wrong output,Cross-validation of confidence,Require higher confidence,Calibration testing + recalibration,Major,10⁻⁵,C,Human factors critical
Output Processing,Output saturation,NN output exceeds limits,Extreme command,Actuator saturation,Envelope violation,Output range limiting,Clamp to safe range,Independent output limiter,Hazardous,10⁻⁷,B,Safety monitor function
Safety Monitor,Monitor failure,Hardware/software fault,No checking of NN,NN failure undetected,Depends on NN failure,Monitor watchdog,Use backup monitor,Redundant monitors,Catastrophic (with NN failure),10⁻⁹,A,Critical independence
Safety Monitor,False trigger,Over-sensitive threshold,Unnecessary fallback,Nuisance event,Crew workload increase,Crew can inhibit temporarily,Adjust threshold,Proper tuning + validation,Minor,10⁻³,D,Operational nuisance
Explainability Module,No explanation,Module fails,Cannot explain decision,Crew uncertainty,Reduced trust in NN,Explanation present check,Proceed without explanation (non-critical),Redundant explanation methods,Minor (if non-critical),10⁻³,D,Incident investigation impact
GPU Hardware,GPU processor failure,Hardware fault,No NN computation,NN unavailable,Fallback to conventional,BIT + watchdog,Switch to backup GPU/CPU,Dual redundant processors,Major,10⁻⁵,C,Hardware redundancy
GPU Hardware,GPU thermal shutdown,Cooling system failure,NN computation stops,NN unavailable,Fallback to conventional,Temperature monitoring,Reduce compute load/fallback,Thermal management + redundancy,Major,10⁻⁵,C,Environmental control
Memory (Weights),Memory corruption,SEU/aging,Wrong model weights,NN behavior changed,Unpredictable output,Periodic checksum verification,Reload weights from ROM,ECC memory + scrubbing,Hazardous,10⁻⁷,B,Memory protection
Memory (Activations),Memory error during inference,Transient fault,Computation error,Wrong prediction for one cycle,Transient incorrect output,Output reasonableness,Ignore outlier output,ECC memory + voting,Major,10⁻⁵,C,Transient fault tolerance
Training Data (Design),Insufficient coverage,Limited operational data,Poor performance in gaps,NN fails in rare scenario,Depends on scenario,Operational monitoring,Constrain ODD,Extensive data collection + augmentation,Variable,Variable,Variable,Training phase issue
Training Data (Design),Data bias,Unrepresentative dataset,Systematic errors,Biased predictions,Depends on bias direction,Bias testing,Constrain ODD or retrain,Diverse dataset + bias testing,Variable,Variable,Variable,Fairness critical
Training Data (Design),Label errors,Human annotation mistakes,Model learns wrong behavior,Incorrect predictions,Depends on function,Validation set performance,Retrain with corrected labels,Multi-annotator + expert review,Variable,Variable,Variable,Quality assurance
Training Data (Design),Data poisoning,Malicious training data,Backdoor in model,Triggered misbehavior,Depends on trigger,Anomaly detection,Do not deploy,Secure data pipeline + validation,Catastrophic (if deployed),10⁻⁹,A,Security threat
Software Framework,ML framework bug,TensorFlow/PyTorch bug,Incorrect inference,Wrong NN output,Depends on function,Output validation,Switch to backup implementation,Diverse implementations,Hazardous,10⁻⁷,B,Software diversity
Software Framework,Version incompatibility,Wrong library version loaded,NN fails to load/run,NN unavailable,Fallback to conventional,Startup version check,Use correct version,Configuration management,Major,10⁻⁵,C,Version control critical
