Requirement_ID,Requirement_Description,ATA_Chapter,System,Component,Design_Document,Test_Case,Verification_Method,Status,Owner,Priority,CRL_Level
REQ-CIRC-001,Achieve 85% energy recovery rate across all systems,Multi-ATA,Cross-System,All Energy Systems,95-30-00-002,TEST-CIRC-001,Analysis + Test,Active,Energy Circularity Lead,P0,CRL-4
REQ-CIRC-002,Maintain fluid loss below 1% across all fluid systems,Multi-ATA,Fluid Systems,All Fluid Systems,95-30-00-002,TEST-CIRC-002,Test,Active,Fluid Circularity Lead,P0,CRL-4
REQ-CIRC-003,Capture and utilize fuel cell waste heat for cabin heating,ATA-21/70,ECS + Propulsion,Heat Exchangers,95-30-21-003,TEST-CIRC-003,Test,Active,ECS Lead,P1,CRL-5
REQ-CIRC-004,Implement closed-loop air recirculation with 90% efficiency,ATA-21,Environmental Control,Air Management,95-30-21-002,TEST-CIRC-004,Test,Active,ECS Lead,P1,CRL-5
REQ-CIRC-005,Recover and reuse hydraulic accumulator energy,ATA-29,Hydraulic Power,Accumulators,95-30-29-002,TEST-CIRC-005,Test,Active,Hydraulic Lead,P1,CRL-4
REQ-CIRC-006,Minimize H₂ boil-off through recovery and recompression,ATA-28,Fuel System,H₂ Tanks,95-30-28-002,TEST-CIRC-006,Test,Active,Fuel Systems Lead,P0,CRL-5
REQ-CIRC-007,Optimize bleed air usage between pneumatic and ECS,ATA-36/21,Pneumatic + ECS,Bleed Air System,95-30-36-002,TEST-CIRC-007,Analysis,Active,Pneumatic Lead,P1,CRL-4
REQ-CIRC-008,Treat and reuse grey water at 88% recovery rate,ATA-38,Water/Waste,Water Treatment,95-30-38-003,TEST-CIRC-008,Test,Active,Water Systems Lead,P1,CRL-4
REQ-CIRC-009,Capture CO₂ from atmosphere achieving -5kg per flight,ATA-80/70,Energy Storage,CO₂ Battery,95-30-80-002,TEST-CIRC-009,Test,Active,Energy Storage Lead,P0,CRL-4
REQ-CIRC-010,Implement regenerative braking for electrical systems,ATA-24/32,Electrical Power,Brake System,95-30-24-002,TEST-CIRC-010,Test,Active,Electrical Lead,P1,CRL-4
REQ-CIRC-011,Share APU power with main electrical grid bidirectionally,ATA-49/24,APU + Electrical,Power Distribution,95-30-49-004,TEST-CIRC-011,Test,Active,APU Lead,P1,CRL-5
REQ-CIRC-012,Optimize battery charge/discharge cycles for longevity,ATA-80,Energy Storage,Battery System,95-30-80-003,TEST-CIRC-012,Analysis + Test,Active,Energy Storage Lead,P0,CRL-5
REQ-CIRC-013,Track all components through Digital Product Passport,ATA-95,DPP,All Components,95-30-00-007,TEST-CIRC-013,Review,Active,DPP Lead,P0,CRL-5
REQ-CIRC-014,Design components for second-life applications,Multi-ATA,All Systems,Selected Components,95-30-00-002,TEST-CIRC-014,Review,Active,Material Circularity Lead,P1,CRL-3
REQ-CIRC-015,Use 70% recyclable materials by aircraft weight,Multi-ATA,All Systems,All Components,95-30-00-002,TEST-CIRC-015,Analysis,Active,Material Circularity Lead,P1,CRL-3
REQ-CIRC-016,Implement predictive leak detection for hydraulic systems,ATA-29,Hydraulic Power,Leak Detection,95-30-29-004,TEST-CIRC-016,Test,Active,Hydraulic Lead,P1,CRL-4
REQ-CIRC-017,Convert fuel cell water output to potable water at 95%,ATA-38/70,Water + Propulsion,Water Processing,95-30-38-002,TEST-CIRC-017,Test,Active,Water Systems Lead,P1,CRL-4
