AI_ID,Name,ATA_Chapter,Domain,Location,Primary_Function,End_User,AI_Tech,Safety_Component,Hazard_Contribution,AI_Level_DS.AI,DS.AI_Scope,AL_TQL,OD,ODD,Repo_Anchor,Status,Owner
NN-CORE,Neural Networks Core Platform,95-20-01,AIRBORNE+GROUND,On-board IMA + Ground training infrastructure,Model deployment infrastructure and inference runtime,All NN subsystems,Platform (inference engine),YES,H2 (platform failure affects dependent systems),2A,IN,AL2-AL3 / TQL2-TQL3,Platform supporting all airborne NN operations,Runtime environment within certified IMA partitions,OPT-IN_FRAMEWORK/N-NEURAL_NETWORKS_USERS_TRACEABILITY/ATA_95-DIGITAL_PRODUCT_PASSPORT_NEURAL_NETWORKS/95-20_Subsystems/95-20-01_NN_Core_Platform,In design,NN Platform & Integration Domain
NN-DPP,Neural Networks Digital Product Passport & Blockchain,95-20-02,ENTERPRISE+AIRBORNE,Ground blockchain + on-board provenance verification,Model provenance tracking and lifecycle traceability,Certification authorities / maintainers / auditors,Blockchain + verification,NO (traceability only),H4-H5 (data integrity for auditing),1A,IN as AI tool,TQL5-TQL6,Model lifecycle tracking from training to deployment,Blockchain transaction scope for NN model updates,OPT-IN_FRAMEWORK/N-NEURAL_NETWORKS_USERS_TRACEABILITY/ATA_95-DIGITAL_PRODUCT_PASSPORT_NEURAL_NETWORKS/95-20_Subsystems/95-20-02_NN_DPP_Blockchain,Prototype,Digital Trust & Provenance Domain
NN-ECS,Neural Networks Environmental Control System,95-20-21,AIRBORNE,On-board,Climate & air-quality optimisation (temperature humidity CO2 scrubbing pressure support),Flight crew / cabin crew / ECS controller,Supervised,YES,H2-H3 (comfort physiological impacts),2A or 2B,IN,AL2-AL3 / TQL2-TQL3,Normal passenger operations for Q80/Q100/Q120 all cabins ISA±X normal pressurisation envelope,Cabin state vectors sensor ranges passenger loads within trained space,OPT-IN_FRAMEWORK/N-NEURAL_NETWORKS_USERS_TRACEABILITY/ATA_95-DIGITAL_PRODUCT_PASSPORT_NEURAL_NETWORKS/95-20_Subsystems/95-20-21_NN_ECS,In design,ECS & Cabin Environment Domain
NN-FCTL,Neural Networks Flight Controls (support/augmentation),95-20-27,AIRBORNE,On-board,Support to flight control laws augmentation or envelope prediction,Flight control computers / pilots,Supervised (potentially),YES,H1 (loss of control),>=2B,OUT (DS.AI),N/A - treat under DO-178C Level A & dedicated AI safety guidance,Full flight envelope operations,Flight dynamics state within trained envelope,OPT-IN_FRAMEWORK/N-NEURAL_NETWORKS_USERS_TRACEABILITY/ATA_95-DIGITAL_PRODUCT_PASSPORT_NEURAL_NETWORKS/95-20_Subsystems/95-20-27_NN_Flight_Controls,Concept,Flight Controls Domain
NN-FUEL,Neural Networks Fuel System (H2 optimization),95-20-28,AIRBORNE,On-board,Hydrogen fuel management and optimization,Fuel system controllers / flight crew,Supervised,YES,H2 (fuel system efficiency and safety),2A or 2B,IN,AL2-AL3 / TQL2-TQL3,Normal flight operations with hydrogen propulsion,H2 tank states flow rates temperatures within design envelope,OPT-IN_FRAMEWORK/N-NEURAL_NETWORKS_USERS_TRACEABILITY/ATA_95-DIGITAL_PRODUCT_PASSPORT_NEURAL_NETWORKS/95-20_Subsystems/95-20-28_NN_Fuel_System,Concept,Hydrogen Propulsion Domain
NN-REC,Neural Networks Recording Systems,95-20-31,AIRBORNE,On-board,Intelligent event detection and data compression for flight recorders,Flight data recording systems,Supervised / unsupervised,NO (advisory - recording enhancement),H4-H5 (investigation support),1B,IN,AL4-AL5 / TQL4-TQL5,All flight phases for enhanced recording,Event patterns within training data from operational fleet,OPT-IN_FRAMEWORK/N-NEURAL_NETWORKS_USERS_TRACEABILITY/ATA_95-DIGITAL_PRODUCT_PASSPORT_NEURAL_NETWORKS/95-20_Subsystems/95-20-31_NN_Recording_Systems,Concept,Avionics & Recording Domain
NN-IMA,Neural Networks IMA Integration,95-20-42,AIRBORNE,On-board IMA,Integration layer for NN models within IMA architecture,IMA platform / hosted NN applications,Integration framework,YES,H2 (integration layer affects all NN subsystems),2A,IN,AL2-AL3 / TQL2-TQL3,IMA operational environment for NN hosting,IMA partition resources timing constraints per DO-297,OPT-IN_FRAMEWORK/N-NEURAL_NETWORKS_USERS_TRACEABILITY/ATA_95-DIGITAL_PRODUCT_PASSPORT_NEURAL_NETWORKS/95-20_Subsystems/95-20-42_NN_IMA_Integration,In design,IMA & Systems Integration Domain
NN-MX,Neural Networks Maintenance (predictive),95-20-45,GROUND+AIRBORNE,On-board sensors + MRO backend,Remaining useful life prediction anomaly detection smart maintenance planning,Maintenance engineers / fleet managers,Supervised / unsupervised,NO or limited (advisory),H3-H4 (maintenance scheduling dispatch reliability),1B (decision support),IN (as high-risk AI if used to release aircraft),AL3-AL4 / TQL3-TQL4,Fleet ops under normal usage profiles,Sensor & log data ranges per design,OPT-IN_FRAMEWORK/N-NEURAL_NETWORKS_USERS_TRACEABILITY/ATA_95-DIGITAL_PRODUCT_PASSPORT_NEURAL_NETWORKS/95-20_Subsystems/95-20-45_NN_Maintenance,Concept,MRO & Fleet Health Domain
NN-APU,Neural Networks APU (Auxiliary Power Unit),95-20-49,AIRBORNE,On-board,APU performance optimization and health monitoring,APU controllers / maintenance,Supervised,YES,H3 (APU availability and efficiency),2A,IN,AL3 / TQL3,Ground and in-flight APU operations,APU operating parameters within design envelope,OPT-IN_FRAMEWORK/N-NEURAL_NETWORKS_USERS_TRACEABILITY/ATA_95-DIGITAL_PRODUCT_PASSPORT_NEURAL_NETWORKS/95-20_Subsystems/95-20-49_NN_APU,Concept,APU & Auxiliary Systems Domain
NN-STRUCT,Neural Networks Structures (health monitoring),95-20-53,AIRBORNE+GROUND,On-board sensors + ground analysis,Structural health monitoring and damage detection,Structural engineers / maintenance,Supervised / unsupervised,YES (if used for dispatch),H2-H3 (structural integrity assessment),2A or 1B,IN,AL2-AL3 / TQL2-TQL3 (if safety) or AL4 (if advisory),Normal flight loads and operational envelope,Strain sensor data vibration patterns within training range,OPT-IN_FRAMEWORK/N-NEURAL_NETWORKS_USERS_TRACEABILITY/ATA_95-DIGITAL_PRODUCT_PASSPORT_NEURAL_NETWORKS/95-20_Subsystems/95-20-53_NN_Structures,Concept,Structures & Loads Domain
