Signal_ID,Name,Description,Type,VL_ID,Direction,Unit,Range_Min,Range_Max,Rate_Hz,Source_System,Destination_System,Protocol
SIG-NRG-001,HVDC_BUS_V,HVDC bus voltage,A664,1001,TX,VDC,0,1000,10,53-80,ATA-24,AFDX
SIG-NRG-002,HVDC_BUS_I,HVDC bus current,A664,1001,TX,A,0,3000,10,53-80,ATA-24,AFDX
SIG-NRG-003,ANCHORS_PWR_REQ,Power request to aircraft,A664,2001,TX,kW,0,250,1,53-80,ATA-24,AFDX
SIG-NRG-004,ANCHORS_SOC,Battery state of charge,A664,2001,TX,%,0,100,1,53-80,ATA-24,AFDX
SIG-NRG-005,ANCHORS_STATUS,System status bitmap,A664,2002,TX,Bitmap,0,65535,1,53-80,ATA-24,AFDX
SIG-NRG-006,EMERG_PWR_AVAIL,Emergency backup available,A664,2003,TX,kW,0,50,1,53-80,ATA-24,AFDX
SIG-NRG-007,REGEN_POWER,Regeneration power available,A664,2004,TX,kW,0,800,10,53-80,ATA-72,AFDX
SIG-NRG-010,HVDC_AVAIL,Power available from aircraft,A664,1001,RX,kW,0,500,1,ATA-24,53-80,AFDX
SIG-NRG-011,PWR_CMD_ACK,Power command acknowledgment,A664,1002,RX,Boolean,0,1,Event,ATA-24,53-80,AFDX
SIG-NRG-012,ELMS_STATUS,ELMS health status,A664,1003,RX,Bitmap,0,65535,1,ATA-24,53-80,AFDX
SIG-NRG-013,LOAD_SHED_CMD,Aircraft load shed command,A664,1004,RX,Level,0,5,Event,ATA-24,53-80,AFDX
SIG-NRG-020,HT_SUPPLY_TEMP,HT bus supply temperature,A664,3001,TX,°C,0,120,1,53-80,ATA-21,AFDX
SIG-NRG-021,HT_SUPPLY_FLOW,HT bus supply flow rate,A664,3001,TX,L/min,0,200,1,53-80,ATA-21,AFDX
SIG-NRG-022,HEAT_AVAILABLE,Heat available for ECS,A664,3002,TX,kW,0,150,1,53-80,ATA-21,AFDX
SIG-NRG-023,VALVE_POSITION,Cabin heat valve position,A664,3002,TX,%,0,100,1,53-80,ATA-21,AFDX
SIG-NRG-024,THERMAL_STATUS,Thermal system status,A664,3003,TX,Bitmap,0,65535,1,53-80,ATA-21,AFDX
SIG-NRG-030,HEAT_DEMAND,Heat demand from ECS,A664,4001,RX,kW,0,150,1,ATA-21,53-80,AFDX
SIG-NRG-031,CABIN_TEMP,Cabin temperature,A664,4001,RX,°C,-20,50,1,ATA-21,53-80,AFDX
SIG-NRG-032,DEICE_REQUEST,De-icing zone request,A664,4002,RX,Bitmap,0,15,Event,ATA-21,53-80,AFDX
SIG-NRG-033,ECSC_STATUS,ECS controller status,A664,4003,RX,Bitmap,0,65535,1,ATA-21,53-80,AFDX
SIG-NRG-034,VALVE_CMD,Valve position command,A664,4004,RX,%,0,100,10,ATA-21,53-80,AFDX
SIG-NRG-040,REGEN_AVAIL,Regen available from propulsion,A664,5001,RX,kW,0,800,10,ATA-72,53-80,AFDX
SIG-NRG-041,REGEN_ACCEPT,Regen acceptance command,A664,5002,TX,kW,0,800,10,53-80,ATA-72,AFDX
SIG-NRG-042,FC_POWER,Fuel cell power output,A664,5003,RX,kW,0,1000,10,ATA-72,53-80,AFDX
SIG-NRG-043,TG_POWER,Turbo-generator power output,A664,5003,RX,kW,0,1500,10,ATA-72,53-80,AFDX
SIG-NRG-044,WASTE_HEAT,Propulsion waste heat,A664,5004,RX,kW,0,500,1,ATA-72,53-80,AFDX
SIG-NRG-050,DCDC01_CMD,DCDC-01 power command,CAN,100,TX,kW,-200,200,10,EMS,DCDC-01,CAN-FD
SIG-NRG-051,DCDC01_STATUS,DCDC-01 status,CAN,101,RX,Bitmap,0,65535,10,DCDC-01,EMS,CAN-FD
SIG-NRG-052,HT_PUMP_CMD,HT pump speed command,CAN,110,TX,%,0,100,1,EMS,HT_PUMP,CAN-FD
SIG-NRG-053,LT_PUMP_CMD,LT pump speed command,CAN,111,TX,%,0,100,1,EMS,LT_PUMP,CAN-FD
SIG-NRG-054,VALVE_HT_CABIN,Cabin heat valve command,CAN,120,TX,%,0,100,1,EMS,VALVE-01,CAN-FD
SIG-NRG-055,VALVE_HT_DEICE,De-ice valve command,CAN,121,TX,%,0,100,1,EMS,VALVE-02,CAN-FD
SIG-NRG-056,VALVE_COUPLING,HT/LT coupling valve command,CAN,122,TX,%,0,100,1,EMS,VALVE-03,CAN-FD
SIG-NRG-060,SSCB01_STATUS,SSCB-01 status,Discrete,N/A,RX,Boolean,0,1,Event,SSCB-01,EMS,28V
SIG-NRG-061,SSCB01_TRIP,SSCB-01 trip command,Discrete,N/A,TX,Boolean,0,1,Event,EMS,SSCB-01,28V
SIG-NRG-062,SSCB01_RESET,SSCB-01 reset command,Discrete,N/A,TX,Boolean,0,1,Event,EMS,SSCB-01,28V
