Requirement_ID,Description,Value,Units,Load_Case,Verification,Status,Rationale
RQ-54-60-00-001,Fuel_Cell_Housing_Ultimate_Strength,150,%_DLL,Combined,Test,Defined,CS_25.305
RQ-54-60-00-002,Pylon_Attachment_Ultimate_Load,200000,lbf,Limit_x_1.5,Analysis,Defined,Full_propulsion_load
RQ-54-60-00-003,Thermal_Expansion_Accommodation,±15,mm,Operating_range,Analysis,Defined,-55C_to_80C
RQ-54-60-00-004,Vibration_Isolation_Frequency,5-15,Hz,Operating,Test,Defined,Avoid_resonance
RQ-54-60-00-005,Stack_Support_Structure_Stiffness,50000,N/mm,Lateral,Test,Defined,Limit_deflection
RQ-54-60-00-006,Crash_Load_Survivability,16,g,Ultimate,Analysis,Defined,CS_25.561
RQ-54-60-00-007,Nacelle_Shell_Thickness,3.0,mm,Minimum,Inspect,Defined,Al_7075-T6
RQ-54-60-00-008,Access_Door_Load_Rating,250,lbf/ft²,Wind_load,Test,Defined,Ground_ops
RQ-54-60-00-009,Firewall_Structural_Rating,2000,°F,15_min,Test,Defined,Hydrogen_fire
RQ-54-60-00-010,Cooling_Duct_Pressure_Rating,12,psi,Ultimate,Test,Defined,Coolant_system
RQ-54-60-00-011,Hydrogen_Line_Support_Spacing,300,mm,Maximum,Inspect,Defined,Prevent_vibration
RQ-54-60-00-012,Stack_Compression_Load,50,psi,Uniform,Test,Defined,Cell_contact
RQ-54-60-00-013,Housing_Leak_Tightness,1E-6,sccm,Helium,Test,Defined,H2_containment
RQ-54-60-00-014,Lightning_Strike_Capability,200,kA,Zone_2A,Test,Defined,Direct_strike
RQ-54-60-00-015,Fatigue_Life_Mounting_Points,50000,cycles,Spectrum,Analysis,Defined,20_year_life
RQ-54-60-00-016,Corrosion_Resistance_Life,20,years,All_environments,Test,Defined,Service_life
RQ-54-60-00-017,Water_Drain_System_Capacity,10,L/hour,Maximum_production,Test,Defined,Fuel_cell_output
RQ-54-60-00-018,EMI_Shielding_Effectiveness,60,dB,100MHz-18GHz,Test,Defined,Power_electronics
RQ-54-60-00-019,Acoustic_Treatment_Insertion_Loss,20,dB,500-4000Hz,Test,Defined,Noise_reduction
