Parameter,Value,Unit,Configuration,Notes
Total_Fuel_Cell_Power,2500,kW,4x625kW,Total installed power
Stack_Power_Rating,625,kW,Each,Individual stack rating
Number_of_Stacks,4,count,Configuration,Total number of stacks
Stack_Configuration,2+2,layout,Port_Starboard,Two stacks per side
Normal_Operating_Power,1800,kW,Cruise,Typical cruise power
Maximum_Continuous_Power,2500,kW,Climb,Maximum continuous rating
Emergency_Power_3_Stacks,1875,kW,N-1,Three stacks operating
Emergency_Power_2_Stacks,1250,kW,N-2,Two stacks minimum
H2_Consumption_Rate,0.06,kg/kWh,Typical,Hydrogen consumption rate
Electrical_Efficiency,60,%,Stack,Electrical conversion efficiency
Thermal_Efficiency,35,%,Stack,Useful heat recovery
Total_Efficiency,95,%,Combined,Combined heat and power
Load_Distribution,Automatic,system,CAOS,CAOS manages load distribution
Reserve_Power_Margin,20,%,Design,Design reserve margin
