Component,Heat_Generation_kW,Cooling_Method,Coolant_Flow_kg_s,Temperature_C,Notes
Fuel_Cell_Stack_1,400,Liquid_Cooling,8,80,Nominal heat rejection
Fuel_Cell_Stack_2,400,Liquid_Cooling,8,80,Nominal heat rejection
Fuel_Cell_Stack_3,400,Liquid_Cooling,8,80,Nominal heat rejection
Fuel_Cell_Stack_4,400,Liquid_Cooling,8,80,Nominal heat rejection
Power_Electronics,100,Air_Cooling,Variable,70,Inverter/controller cooling
Electric_Motors,80,Air_Cooling,Variable,90,Motor cooling
Avionics,50,Air_Cooling,Variable,55,Avionics cooling
Total,1830,Combined,32,Variable,Total thermal load
Heat_Recovery,640,H2_Warming,Variable,Variable,Useful heat to warm H2
Net_Heat_Rejection,1190,Radiators,Variable,Variable,Net heat to be rejected
