Document_ID,File_Path,Figure_ID,Figure_Title,Figure_FileName,Status,Description
02-11-00-ENG-OV-001,06_ENGINEERING/Engineering_Analysis_Overview.md,FIG-01,Analysis Dataflow Diagram,02-11-00-ENG-OV-001-FIG-01_Analysis_Dataflow.png,To Create,"Block diagram showing: 04_DESIGN → TRADE_STUDIES → CALCULATIONS/SIMULATIONS → ANALYSIS_REPORTS → CERTIFICATION. Include data flow arrows and feedback loops."
TBD,06_ENGINEERING/README.md,FIG-01,Folder Structure Tree,06-ENGINEERING-FIG-01_Folder_Structure.png,To Create,"Tree-style diagram of 06_ENGINEERING showing main folders (ANALYSIS_REPORTS / CALCULATIONS / SIMULATIONS / TECHNICAL_NOTES / TRADE_STUDIES) with role assignments for each domain."
TBD,06_ENGINEERING/Analysis_Standards_Applied.csv,FIG-01,Standards Coverage Matrix,Standards_Coverage_Matrix.png,To Create,"Heatmap showing standards (CS-25, MIL-HDBK, etc.) vs domains (STRUCTURAL/AERO/WB/CLEARANCE/PERF/CERT). Color-code: Green=Full coverage, Yellow=Partial, Red=Gap, Gray=N/A."
02-11-00-STR-001,ANALYSIS_REPORTS/STRUCTURAL/FEM_Global_Model.md,FIG-01,FEM Model Overview,02-11-00-STR-001-FIG-01_FEM_Overview.png,To Create,"3D visualization of global FEM model showing mesh density, element types, and boundary conditions. Highlight critical load paths."
02-11-00-STR-001,ANALYSIS_REPORTS/STRUCTURAL/FEM_Global_Model.md,FIG-02,Load Cases Summary,02-11-00-STR-001-FIG-02_Load_Cases.png,To Create,"Bar chart showing all 25+ CS-25 load cases organized by category (Maneuver/Gust/Landing/Pressure). Include load factors and speeds."
02-11-00-STR-002,ANALYSIS_REPORTS/STRUCTURAL/Wing_Box_Stress_Analysis.md,FIG-01,Wing Box Cross-Sections,02-11-00-STR-002-FIG-01_Wing_Sections.png,To Create,"Detailed cross-sections at root, mid-span, and tip showing spar caps, stringers, skin thickness, and material types."
02-11-00-STR-002,ANALYSIS_REPORTS/STRUCTURAL/Wing_Box_Stress_Analysis.md,FIG-02,Stress Distribution,02-11-00-STR-002-FIG-02_Stress_Contour.png,To Create,"Contour plot of von Mises stress on wing box upper and lower surfaces at 2.5g pull-up condition. Highlight critical zones."
02-11-00-STR-003,ANALYSIS_REPORTS/STRUCTURAL/Pressure_Vessel_Analysis.md,FIG-01,Pressure Vessel Geometry,02-11-00-STR-003-FIG-01_Vessel_Geometry.png,To Create,"Cross-section of center body showing pressure vessel geometry, equivalent cylindrical radius, frame spacing, and stringer layout."
02-11-00-STR-003,ANALYSIS_REPORTS/STRUCTURAL/Pressure_Vessel_Analysis.md,FIG-02,Hoop Stress Distribution,02-11-00-STR-003-FIG-02_Hoop_Stress.png,To Create,"Contour plot of hoop stress in center body skin at max cabin pressure (8.0 psi differential). Include stress concentration at door cutouts."
02-11-00-STR-004,ANALYSIS_REPORTS/STRUCTURAL/Landing_Gear_Loads.md,FIG-01,Landing Gear Loads Summary,02-11-00-STR-004-FIG-01_Gear_Loads.png,To Create,"Bar chart comparing vertical, forward, and lateral loads for all landing conditions (LC-LDG-01 through LC-LDG-05). Include limit and ultimate loads."
02-11-00-STR-005,ANALYSIS_REPORTS/STRUCTURAL/Fatigue_Analysis.md,FIG-01,S-N Curves,02-11-00-STR-005-FIG-01_SN_Curves.png,To Create,"S-N curves for primary materials (7075-T6, Ti-6Al-4V, IM7/8552) showing stress vs cycles to failure. Include design life markers."
02-11-00-STR-006,ANALYSIS_REPORTS/STRUCTURAL/Damage_Tolerance_Analysis.md,FIG-01,Crack Growth Curves,02-11-00-STR-006-FIG-01_Crack_Growth.png,To Create,"Plot of crack length vs flight cycles for critical locations (wing lower skin, center body door frame, gear trunnion). Show inspection intervals."
02-11-00-AERO-001,ANALYSIS_REPORTS/AERODYNAMIC/CFD_Cruise_Analysis.md,FIG-01,CFD Mesh Overview,02-11-00-AERO-001-FIG-01_CFD_Mesh.png,To Create,"3D view of CFD computational domain showing aircraft surface mesh, boundary layer prism layers, and far-field boundaries."
02-11-00-AERO-001,ANALYSIS_REPORTS/AERODYNAMIC/CFD_Cruise_Analysis.md,FIG-02,Pressure Coefficient Distribution,02-11-00-AERO-001-FIG-02_Cp_Distribution.png,To Create,"Cp contour plot on upper and lower surfaces at cruise (M0.82, FL410). Highlight shock wave location on upper surface."
02-11-00-AERO-001,ANALYSIS_REPORTS/AERODYNAMIC/CFD_Cruise_Analysis.md,FIG-03,Streamlines and Wake,02-11-00-AERO-001-FIG-03_Streamlines.png,To Create,"Streamline visualization showing flow around BWB configuration. Include velocity magnitude contours and wake development."
02-11-00-AERO-002,ANALYSIS_REPORTS/AERODYNAMIC/Lift_Distribution_Analysis.md,FIG-01,Spanwise Lift Distribution,02-11-00-AERO-002-FIG-01_Lift_Distribution.png,To Create,"Plot of local CL and section lift (kN/m) vs spanwise station (y/b ratio). Compare cruise, take-off, and landing configurations."
02-11-00-AERO-003,ANALYSIS_REPORTS/AERODYNAMIC/Drag_Breakdown_Analysis.md,FIG-01,Drag Breakdown Pie Chart,02-11-00-AERO-003-FIG-01_Drag_Breakdown.png,To Create,"Pie chart showing drag components: Induced, Friction (wing/body/nacelle), Form, Wave, Interference, Miscellaneous. Label with drag counts."
02-11-00-AERO-003,ANALYSIS_REPORTS/AERODYNAMIC/Drag_Breakdown_Analysis.md,FIG-02,Drag Polar,02-11-00-AERO-003-FIG-02_Drag_Polar.png,To Create,"Plot of CD vs CL showing drag polar curve. Indicate cruise point (CL=0.52, CD<0.022) and L/D=23.6 line."
02-11-00-AERO-004,ANALYSIS_REPORTS/AERODYNAMIC/High_Lift_System_Analysis.md,FIG-01,High-Lift Configurations,02-11-00-AERO-004-FIG-01_HL_Configs.png,To Create,"Side-by-side comparison of take-off (flaps 20°, slats 25°) and landing (flaps 30°, slats 30°) configurations with deflection angles labeled."
02-11-00-AERO-004,ANALYSIS_REPORTS/AERODYNAMIC/High_Lift_System_Analysis.md,FIG-02,CL vs Alpha Curves,02-11-00-AERO-004-FIG-02_CL_Alpha.png,To Create,"Plot of CL vs angle of attack for clean, take-off, and landing configurations. Mark CLmax values and stall angles."
02-11-00-AERO-005,ANALYSIS_REPORTS/AERODYNAMIC/Flutter_Analysis.md,FIG-01,V-g Diagram,02-11-00-AERO-005-FIG-01_Vg_Diagram.png,To Create,"Velocity-damping-frequency (V-g) diagram showing critical modes (1st wing bending, 1st torsion, aileron). Include flutter boundary and VD/VF markers."
02-11-00-WB-001,ANALYSIS_REPORTS/WEIGHT_BALANCE/CG_Envelope_Calculation.md,FIG-01,CG Envelope,02-11-00-WB-001-FIG-01_CG_Envelope.png,To Create,"Plot of CG location (% MAC) vs aircraft weight (kg). Show forward/aft limits, and CG positions for OEW, MZFW, MTOW, MLW. Include fuel burn trajectory."
02-11-00-WB-002,ANALYSIS_REPORTS/WEIGHT_BALANCE/Weight_Distribution.md,FIG-01,Weight Breakdown by ATA,02-11-00-WB-002-FIG-01_Weight_ATA.png,To Create,"Bar chart showing weight breakdown by ATA chapter (21-Air Conditioning, 27-Flight Controls, 28-Fuel System, 32-Landing Gear, 51-Wing Structure, etc.)."
02-11-00-WB-003,ANALYSIS_REPORTS/WEIGHT_BALANCE/Moment_of_Inertia.md,FIG-01,Inertia Ellipsoid,02-11-00-WB-003-FIG-01_Inertia_Ellipsoid.png,To Create,"3D visualization of mass moment of inertia ellipsoid showing principal axes (roll Ixx, pitch Iyy, yaw Izz) for MTOW configuration."
02-11-00-CLR-001,ANALYSIS_REPORTS/CLEARANCE/Ground_Clearance_Calculations.md,FIG-01,Ground Clearances Diagram,02-11-00-CLR-001-FIG-01_Clearances.png,To Create,"Side view showing aircraft in static level, tail-down, and rotation attitudes. Label belly clearance, wingtip clearance, tail clearance with dimensions."
