Category,Item,Quantity,Unit_Cost,Total_Cost,Lead_Time_Weeks,Status,Notes
Materials,CFRP_Prepreg_M21E,100_kg,150_USD/kg,15000,8,Quote_Requested,Hexcel
Materials,Nomex_Core_HRH10,20_m2,500_USD/m2,10000,6,Quote_Requested,DuPont
Materials,Adhesive_EA9396,10_kg,200_USD/kg,2000,4,Available,Henkel
Materials,Titanium_Inserts,48_pcs,100_USD/pc,4800,12,Not_Quoted,Special_order
Tooling,Cure_Mold,1,250000,250000,16,Not_Started,Critical_path
Tooling,Assembly_Fixtures,1_set,75000,75000,10,Not_Started,Design_required
Tooling,Trim_Templates,1_set,15000,15000,4,Not_Started,After_mold
Manufacturing,Autoclave_Time,100_hrs,500_USD/hr,50000,0,Available,Local_facility
Manufacturing,CNC_Machining,40_hrs,150_USD/hr,6000,0,Available,Multiple_suppliers
Manufacturing,Assembly_Labor,200_hrs,100_USD/hr,20000,0,TBD,Need_qualified
Testing,GVT,1_campaign,30000,30000,2,Critical,MANDATORY
Testing,Static_Test,1_test,25000,25000,1,Required,Ultimate_load
Testing,Fatigue_Setup,1_setup,50000,50000,4,Required,Long_duration
Testing,NDT_Inspection,10_scans,1000_USD,10000,0,Available,Each_article
Engineering,FEA_Analysis,200_hrs,150_USD/hr,30000,0,URGENT,Required_first
Engineering,Test_Support,100_hrs,150_USD/hr,15000,0,Planned,During_tests
Engineering,Documentation,150_hrs,100_USD/hr,15000,0,Ongoing,Continuous
TOTAL,-,-,-,627800,-,-,Minimum_Phase_1
