Evidence_ID,Document_ID,Parameter,Value,Unit,Requirement,Status,Verification_Method,Reference
DIM-001,CERT-02-10-001,Wingspan,65.0,m,ICAO Code E ≤ 65m,Compliant,CAD Model + Measurement,ICAO Annex 14
DIM-002,CERT-02-10-001,Wing Area,1260,m²,Design requirement,Compliant,CAD Model,Design Spec
DIM-003,CERT-02-10-001,Aspect Ratio,3.36,-,BWB typical range,Compliant,Calculation,Design Analysis
DIM-004,CERT-02-10-001,Mean Aerodynamic Chord,12.5,m,Calculated,Compliant,CAD Model,Aero Analysis
DIM-005,CERT-02-10-001,Leading Edge Sweep,35,degrees,Design optimized,Compliant,CAD Model,Design Spec
DIM-006,CERT-02-10-002,Fuselage Belly Clearance,3.8,m,≥ 3.0m industry standard,Compliant,CAD Model,CS-25.731
DIM-007,CERT-02-10-002,Wing Tip Clearance,2.8,m,Adequate for Code E ops,Compliant,CAD Model,CS-25.731
DIM-008,CERT-02-10-002,Tail Down Angle,13.5,degrees,No tail strike,Compliant,Analysis,CS-25 rotation
DIM-009,CERT-02-10-002,Take-off Rotation Angle,11.0,degrees,Normal operations,Compliant,Analysis,Flight dynamics
DIM-010,CERT-02-10-002,Lateral Tilt Angle,7.0,degrees,Gear failure case,Marginal,Analysis,CS-25.485
DIM-011,CERT-02-10-003,ICAO Code,E,classification,52m < span ≤ 65m,Compliant,Measurement,ICAO Annex 14
DIM-012,CERT-02-10-003,Outer Main Gear Span,9.0,m,9m ≤ span < 14m,Compliant,Design,ICAO Annex 14
DIM-013,CERT-02-10-003,Runway Width Requirement,45,m,Code E minimum,Compliant,Airport Survey,ICAO Annex 14
DIM-014,CERT-02-10-003,Taxiway Width Requirement,23,m,Code E minimum,Compliant,Airport Survey,ICAO Annex 14
DIM-015,CERT-02-10-003,Reference Field Length,2400,m,Code E operations,Compliant,Performance,ICAO Annex 14
DIM-016,CERT-02-10-001,Overall Length,55.0,m,Design specification,Compliant,CAD Model,Design Spec
DIM-017,CERT-02-10-001,Overall Height,18.5,m,Hangar compatibility,Compliant,CAD Model,Airport Facilities
DIM-018,CERT-02-10-002,Nacelle Ground Clearance,4.5,m,Adequate for operations,Compliant,CAD Model,Design Spec
DIM-019,CERT-02-10-002,Main Gear Stroke,0.45,m,Landing energy absorption,Compliant,Landing Gear Design,CS-25.723
DIM-020,CERT-02-10-002,Nose Gear Stroke,0.35,m,Landing energy absorption,Compliant,Landing Gear Design,CS-25.723
DIM-021,CERT-02-10-003,Taxiway Centerline Separation,97.5,m,Code E requirement,Compliant,Airport Analysis,ICAO Annex 14
DIM-022,CERT-02-10-003,Runway-Taxiway Separation,182.5,m,Code E requirement,Compliant,Airport Analysis,ICAO Annex 14
DIM-023,CERT-02-10-003,Apron Taxiway Width,33,m,Code E requirement,Compliant,Airport Analysis,ICAO Annex 14
DIM-024,CERT-02-10-001,Manufacturing Tolerance,±0.03,m,Production control,In Development,QC Procedures,Manufacturing Spec
DIM-025,CERT-02-10-002,Landing Sink Rate,1.8,m/s,CS-25.473 requirement,Compliant,Analysis,CS-25.473
