Task_ID,Task_Description,ATA_Chapter,Interval_Type,Interval_Value,Interval_Unit,Last_Completed,Next_Due,CAOS_Predictive,DMC_Reference
MT-52-10-01-001,Visual inspection of door seals and gaskets,52-10-01,Calendar,180,Days,2025-11-03,2026-05-02,Yes,DMC-AMPEL360-A-52-10-01-00A-720A-D
MT-52-10-01-002,Functional test of door latching mechanism,52-10-01,Flight_Hours,500,Hours,2025-10-15,2026-02-15,Yes,DMC-AMPEL360-A-52-10-01-00A-710A-D
MT-52-10-01-003,Pressure seal leak test,52-10-01,Flight_Cycles,1000,Cycles,2025-09-20,2026-03-20,Yes,DMC-AMPEL360-A-52-10-01-00A-711A-D
MT-52-10-01-004,Door hinge lubrication,52-10-01,Calendar,90,Days,2025-11-03,2026-02-01,No,DMC-AMPEL360-A-52-10-01-00A-540A-D
MT-52-10-01-005,Emergency release mechanism test,52-10-01,Calendar,365,Days,2025-01-15,2026-01-15,Yes,DMC-AMPEL360-A-52-10-01-00A-215A-D
MT-52-10-01-006,NDT inspection of structural attachments,52-10-01,Flight_Hours,2000,Hours,2025-08-10,2026-06-10,Yes,DMC-AMPEL360-A-52-10-01-00A-721A-D
MT-52-10-01-007,CAOS sensor calibration and self-test,52-10-01,Calendar,180,Days,2025-11-03,2026-05-02,Yes,DMC-AMPEL360-A-52-10-01-00A-722A-D
MT-52-10-01-008,Door actuator functional test,52-10-01,Flight_Hours,750,Hours,2025-10-01,2026-03-01,Yes,DMC-AMPEL360-A-52-10-01-00A-710A-D
MT-52-10-01-009,Warning system check (sensors and indicators),52-10-01,Calendar,90,Days,2025-11-03,2026-02-01,Yes,DMC-AMPEL360-A-52-10-01-00A-210A-D
MT-52-10-01-010,Rigging and alignment check,52-10-01,Flight_Cycles,2500,Cycles,2025-07-15,2026-05-15,Yes,DMC-AMPEL360-A-52-10-01-00A-540A-D
MT-52-10-01-011,Door control system software validation,52-10-01,Calendar,365,Days,2025-01-10,2026-01-10,Yes,DMC-AMPEL360-A-52-10-01-00A-912A-D
MT-52-10-01-012,Seal replacement (life-limited part),52-10-01,Flight_Cycles,5000,Cycles,2024-11-01,2026-07-01,Yes,DMC-AMPEL360-A-52-10-01-00A-020A-D
MT-52-10-01-013,Manual override cable inspection,52-10-01,Calendar,180,Days,2025-11-03,2026-05-02,No,DMC-AMPEL360-A-52-10-01-00A-216A-D
MT-52-10-01-014,Digital twin synchronization check,52-10-01,Calendar,30,Days,2025-11-03,2025-12-03,Yes,DMC-AMPEL360-A-52-10-01-00A-913A-D
MT-52-10-01-015,Fleet data analytics review,52-10-01,Calendar,90,Days,2025-11-03,2026-02-01,Yes,DMC-AMPEL360-A-52-10-01-00A-022A-D
