DMC,Title,Info_Code,Type,Status,Issue,Issue_Date,CAOS_Enabled
DMC-AMPEL360-A-52-10-01-00A-000A-D,Door_L1_Forward_Description,000,Descriptive,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-001A-D,General_Information,001,Descriptive,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-002A-D,Technical_Data,002,Descriptive,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-003A-D,Components_List,003,Descriptive,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-004A-D,Interface_Specifications,004,Descriptive,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-100A-D,CAOS_System_Overview,100,Descriptive,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-210A-D,Normal_Operation_Procedure,210,Procedural,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-211A-D,Pre_Flight_Check_Procedure,211,Procedural,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-212A-D,Post_Flight_Check_Procedure,212,Procedural,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-215A-D,Emergency_Operation_Procedure,215,Procedural,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-216A-D,Manual_Override_Procedure,216,Procedural,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-520A-D,Door_Removal_Procedure,520,Procedural,Draft,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-530A-D,Door_Installation_Procedure,530,Procedural,Draft,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-540A-D,Adjustment_Rigging_Procedure,540,Procedural,Draft,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-710A-D,Functional_Test_Procedure,710,Procedural,Draft,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-711A-D,Leak_Test_Procedure,711,Procedural,Draft,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-712A-D,Pressure_Test_Procedure,712,Procedural,Draft,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-720A-D,Visual_Inspection_Procedure,720,Procedural,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-721A-D,NDT_Inspection_Procedure,721,Procedural,Draft,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-722A-D,CAOS_Self_Test_Procedure,722,Procedural,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-910A-D,Troubleshooting_Process,910,Process,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-911A-D,Fault_Isolation_Process,911,Process,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-912A-D,CAOS_Diagnostic_Process,912,Process,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-913A-D,Digital_Twin_Analysis,913,Process,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-914A-D,Predictive_Alerts,914,Process,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-018A-D,MSG3_Analysis,018,Planning,Draft,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-019A-D,Maintenance_Schedule,019,Planning,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-020A-D,Life_Limited_Parts,020,Planning,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-021A-D,CAOS_Intervals,021,Planning,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-022A-D,Reliability_Data,022,Planning,Draft,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-941A-D,Illustrated_Parts_Data,941,Parts,Draft,001,2025-11-03,No
DMC-AMPEL360-A-52-10-01-00A-942A-D,Parts_List,942,Parts,Draft,001,2025-11-03,No
DMC-AMPEL360-A-52-10-01-00A-943A-D,Consumables,943,Parts,Draft,001,2025-11-03,No
DMC-AMPEL360-A-52-10-01-00A-920A-D,Wiring_Diagram,920,Wiring,Draft,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-921A-D,Schematic,921,Wiring,Draft,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-00A-922A-D,Connector_Data,922,Wiring,Draft,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-SB001-400A-D,Latch_Upgrade_SB,400,Service_Bulletin,Released,001,2025-11-03,Yes
DMC-AMPEL360-A-52-10-01-SB002-400A-D,CAOS_Software_Update_SB,400,Service_Bulletin,Released,001,2025-11-03,Yes
