Asset_ID,Category,Name,Part_Number,Serial_Number,DP_Reference,Status,Location,Owner,Value_USD
ASSET-52-10-01-001,Material,CFRP Face Sheet,M21E-34%-268-T800S,HX2025-B1234,DP-MAT-52-10-01-001,In-Production,Manufacturing,AMPEL360,125000
ASSET-52-10-01-002,Material,Nomex Core,HRH-10-1/8-3.0,DN2025-C5678,DP-MAT-52-10-01-002,In-Production,Manufacturing,AMPEL360,15000
ASSET-52-10-01-003,Material,Adhesive EA9396,EA-9396-150G,3M2025-A9012,DP-MAT-52-10-01-003,In-Production,Manufacturing,AMPEL360,8500
ASSET-52-10-01-004,Material,Titanium Inserts,Ti-6Al-4V-AMS4928,TI2025-T3456,DP-MAT-52-10-01-004,In-Production,Manufacturing,AMPEL360,45000
ASSET-52-10-01-005,Material,Lightning Protection ECF,ECF-MS25-50,DX2025-L7890,DP-MAT-52-10-01-005,In-Production,Manufacturing,AMPEL360,22000
ASSET-52-10-01-006,Material,Seal Material,EPDM-AMS3302-70A,SE2025-S1234,DP-MAT-52-10-01-006,In-Production,Manufacturing,AMPEL360,3500
ASSET-52-10-01-101,Software,CAOS Core,SW-CAOS-2.0.1,N/A,DP-SW-52-10-01-001,Active,Repository,AMPEL360,450000
ASSET-52-10-01-102,Software,Digital Twin,SW-DT-1.8.3,N/A,DP-SW-52-10-01-002,Active,Repository,AMPEL360,320000
ASSET-52-10-01-103,Software,Door Controller,SW-DC-1.5.2,N/A,DP-SW-52-10-01-003,Active,Repository,AMPEL360,180000
ASSET-52-10-01-104,Software,Sensor Firmware,SW-SF-2.1.0,N/A,DP-SW-52-10-01-004,Active,Repository,AMPEL360,95000
ASSET-52-10-01-105,Software,Predictive ML,SW-ML-1.3.1,N/A,DP-SW-52-10-01-005,Active,Repository,AMPEL360,280000
ASSET-52-10-01-201,Component,Complete Door,DOOR-L1-FWD-A01,DL1F-001-2025,DP-CMP-52-10-01-001,Assembly,Final-Assembly,AMPEL360,850000
ASSET-52-10-01-202,Component,Panel Assembly,PANEL-L1-FWD-001,PL1F-001-2025,DP-CMP-52-10-01-002,Assembly,Final-Assembly,AMPEL360,425000
ASSET-52-10-01-203,Component,Latch System,LATCH-L1-FWD-001,LT1F-001-2025,DP-CMP-52-10-01-003,Assembly,Final-Assembly,AMPEL360,125000
ASSET-52-10-01-204,Component,Actuation System,ACTUAT-L1-FWD-001,AC1F-001-2025,DP-CMP-52-10-01-004,Assembly,Final-Assembly,AMPEL360,180000
ASSET-52-10-01-205,Component,Sensor Network,SENSOR-L1-FWD-001,SN1F-001-2025,DP-CMP-52-10-01-005,Assembly,Final-Assembly,AMPEL360,120000
