DP_ID,Type,Component,Version,Creation_Date,Last_Update,Blockchain_Hash,Status
DP-MAT-52-10-01-001,Material,CFRP_FaceSheet,1.0,2025-11-03,2025-11-03,0xABC123...,Active
DP-MAT-52-10-01-002,Material,Nomex_Core,1.0,2025-11-03,2025-11-03,0xDEF456...,Active
DP-MAT-52-10-01-003,Material,Adhesive_EA9396,1.0,2025-11-03,2025-11-03,0xGHI789...,Active
DP-MAT-52-10-01-004,Material,Titanium_Inserts,1.0,2025-11-03,2025-11-03,0xJKL012...,Active
DP-MAT-52-10-01-005,Material,Lightning_ECF,1.0,2025-11-03,2025-11-03,0xMNO345...,Active
DP-MAT-52-10-01-006,Material,Seal_Material,1.0,2025-11-03,2025-11-03,0xPQR678...,Active
DP-SW-52-10-01-001,Software,CAOS_Core,2.0.1,2025-11-03,2025-11-03,0xSTU901...,Active
DP-SW-52-10-01-002,Software,Digital_Twin,1.8.3,2025-11-03,2025-11-03,0xVWX234...,Active
DP-SW-52-10-01-003,Software,Door_Controller,1.5.2,2025-11-03,2025-11-03,0xYZA567...,Active
DP-SW-52-10-01-004,Software,Sensor_Firmware,2.1.0,2025-11-03,2025-11-03,0xBCD890...,Active
DP-SW-52-10-01-005,Software,Predictive_ML,1.3.1,2025-11-03,2025-11-03,0xEFG123...,Active
DP-CMP-52-10-01-001,Component,Complete_Door,1.0,2025-11-03,2025-11-03,0xHIJ456...,Draft
DP-CMP-52-10-01-002,Component,Panel_Assembly,1.0,2025-11-03,2025-11-03,0xKLM789...,Active
DP-CMP-52-10-01-003,Component,Latch_System,1.0,2025-11-03,2025-11-03,0xNOP012...,Active
DP-CMP-52-10-01-004,Component,Actuation_System,1.0,2025-11-03,2025-11-03,0xQRS345...,Active
DP-CMP-52-10-01-005,Component,Sensor_Network,1.0,2025-11-03,2025-11-03,0xTUV678...,Active
DP-PRC-52-10-01-001,Process,Autoclave_Cure,1.0,2025-11-03,2025-11-03,0xWXY901...,Active
DP-PRC-52-10-01-002,Process,Assembly_Process,1.0,2025-11-03,2025-11-03,0xZAB234...,Active
DP-PRC-52-10-01-003,Process,Testing_Protocol,1.0,2025-11-03,2025-11-03,0xCDE567...,Active
