Document,Prototype_Phase,Production_MSN-001,Production_MSN-010,Lead_Time,Responsible
Type Certificate Data Sheet,Draft,Final,As_needed,Certification + 30d,Certification Team
Aircraft Flight Manual Section 1,Preliminary,Final,Updates,Certification,Flight Operations
Weight & Balance Manual,Draft,Approved,Aircraft_specific,Prototype_weighing + 3mo,Engineering
Loading Procedures Document,Draft,Final,Revisions,Certification,Ground Operations
Equipment List,Preliminary,Final,MSN_specific,Assembly + 1wk,Configuration Management
Performance Data Sheets,Predicted,Validated,Standard,Flight_test + 2mo,Flight Test
Emergency Procedures Quick Ref,Draft,Final,Updates,Certification,Flight Operations
Normal Procedures Checklist,Preliminary,Final,Updates,Certification,Flight Operations
Maintenance Manual Section,Draft,Final,Updates,Certification + 60d,Maintenance Engineering
Illustrated Parts Catalog,Preliminary,Initial,Updates,Certification + 90d,Technical Publications
