icao_code,iata_code,airport_name,city,country,latitude,longitude,elevation_ft,has_h2_infrastructure
KJFK,JFK,John F Kennedy International Airport,New York,USA,40.6398,-73.7789,13,false
EGLL,LHR,London Heathrow Airport,London,GBR,51.4775,-0.4614,83,true
EDDF,FRA,Frankfurt Airport,Frankfurt,DEU,50.0379,8.5622,364,true
LFPG,CDG,Paris Charles de Gaulle Airport,Paris,FRA,49.0097,2.5479,392,true
EHAM,AMS,Amsterdam Airport Schiphol,Amsterdam,NLD,52.3086,4.7639,-11,true
OMDB,DXB,Dubai International Airport,Dubai,ARE,25.2532,55.3657,62,false
WSSS,SIN,Singapore Changi Airport,Singapore,SGP,1.3644,103.9915,22,true
RJTT,HND,Tokyo Haneda Airport,Tokyo,JPN,35.5494,139.7798,35,false
ZBAA,PEK,Beijing Capital International Airport,Beijing,CHN,40.0801,116.5846,116,false
YSSY,SYD,Sydney Kingsford Smith Airport,Sydney,AUS,-33.9461,151.1772,21,false
KLAX,LAX,Los Angeles International Airport,Los Angeles,USA,33.9425,-118.4081,125,false
KATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,USA,33.6407,-84.4277,1026,false
KORD,ORD,Chicago O'Hare International Airport,Chicago,USA,41.9742,-87.9073,672,false
KDFW,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,USA,32.8998,-97.0403,607,false
KDEN,DEN,Denver International Airport,Denver,USA,39.8561,-104.6737,5434,false
KSFO,SFO,San Francisco International Airport,San Francisco,USA,37.6213,-122.3790,13,true
KIAD,IAD,Washington Dulles International Airport,Washington D.C.,USA,38.9531,-77.4565,313,false
KMIA,MIA,Miami International Airport,Miami,USA,25.7959,-80.2870,8,false
KBOS,BOS,Boston Logan International Airport,Boston,USA,42.3656,-71.0096,19,false
KSEA,SEA,Seattle-Tacoma International Airport,Seattle,USA,47.4502,-122.3088,433,true
CYYZ,YYZ,Toronto Pearson International Airport,Toronto,CAN,43.6777,-79.6248,569,false
CYVR,YVR,Vancouver International Airport,Vancouver,CAN,49.1939,-123.1844,14,true
LTBA,IST,Istanbul Airport,Istanbul,TUR,41.2753,28.7519,325,false
UUEE,SVO,Sheremetyevo International Airport,Moscow,RUS,55.9726,37.4146,622,false
VHHH,HKG,Hong Kong International Airport,Hong Kong,HKG,22.3080,113.9185,28,false
VIDP,DEL,Indira Gandhi International Airport,Delhi,IND,28.5665,77.1031,777,false
SBGR,GRU,São Paulo/Guarulhos International Airport,São Paulo,BRA,-23.4356,-46.4731,2459,false
MMMX,MEX,Mexico City International Airport,Mexico City,MEX,19.4363,-99.0721,7316,false
LEMD,MAD,Madrid Barajas Airport,Madrid,ESP,40.4983,-3.5676,1998,true
LIRF,FCO,Leonardo da Vinci-Fiumicino Airport,Rome,ITA,41.8003,12.2389,13,false
LOWW,VIE,Vienna International Airport,Vienna,AUT,48.1103,16.5697,600,true
LSZH,ZRH,Zurich Airport,Zurich,CHE,47.4647,8.5492,1416,true
EKCH,CPH,Copenhagen Airport,Copenhagen,DNK,55.6180,12.6506,17,true
ESSA,ARN,Stockholm Arlanda Airport,Stockholm,SWE,59.6519,17.9186,137,true
ENGM,OSL,Oslo Airport Gardermoen,Oslo,NOR,60.1939,11.1004,681,true
EIDW,DUB,Dublin Airport,Dublin,IRL,53.4213,-6.2701,242,false
LEBL,BCN,Barcelona El Prat Airport,Barcelona,ESP,41.2974,2.0833,12,false
LFPO,ORY,Paris Orly Airport,Paris,FRA,48.7262,2.3656,292,false
EGKK,LGW,London Gatwick Airport,London,GBR,51.1481,-0.1903,202,false
EDDM,MUC,Munich Airport,Munich,DEU,48.3538,11.7861,1487,true
