Requirement_ID,Category,Requirement_Title,Requirement_Description,Verification_Method,Responsibility,Priority,Status
FOS-001,Flight Operations,Crew Qualifications,All crew members shall be qualified and current per regulatory requirements and company standards,Training records review,Training Dept / Flight Ops,Critical,Active
FOS-002,Flight Operations,Standard Operating Procedures,All operations shall be conducted per approved Standard Operating Procedures (SOPs),Line checks / LOSA,Flight Operations,Critical,Active
FOS-003,Flight Operations,Weather Minima,All flights shall be dispatched and operated within approved weather minima,Dispatch review / Crew compliance,Dispatch / Flight Crew,Critical,Active
FOS-004,Flight Operations,Fuel Planning,All flights shall carry sufficient H2 fuel per regulations (trip + reserves),Dispatch fuel planning / Crew verification,Dispatch / Flight Crew,Critical,Active
FOS-005,Flight Operations,Weight and Balance,All flights shall be within approved weight and CG limits,Load planning / Crew verification / CAOS validation,Load Planning / Flight Crew,Critical,Active
FOS-006,Flight Operations,Performance Calculations,Takeoff and landing performance shall be calculated for actual conditions,Dispatch calculations / Crew verification,Dispatch / Flight Crew,Critical,Active
FOS-007,Flight Operations,MEL Compliance,Aircraft shall be dispatched only in compliance with approved MEL,Maintenance release / Dispatch / Crew verification,Maintenance / Dispatch / Crew,Critical,Active
FOS-008,Flight Operations,CAOS Monitoring,CAOS recommendations shall be monitored and evaluated by crew before implementation,CAOS data review / Crew training,Flight Crew / CAOS Engineering,High,Active
H2S-001,H2 Operations,Refueling Safety Zone,A 50m radius safety zone shall be established during all H2 refueling operations,Ground procedures / Audits,Ground Operations,Critical,Active
H2S-002,H2 Operations,Leak Detection Operational,H2 leak detection system shall be operational for all flight and ground operations with H2 onboard,Pre-flight check / Continuous monitoring,Flight Crew / Maintenance,Critical,Active
H2S-003,H2 Operations,Ventilation Requirements,H2 compartment ventilation shall maintain <10% LEL at all times,System monitoring / Periodic testing,Maintenance / CAOS,Critical,Active
H2S-004,H2 Operations,Refueling Personnel Qualification,Only certified H2 refueling personnel shall conduct refueling operations,Training records / Certification cards,Ground Operations / Training,Critical,Active
H2S-005,H2 Operations,Fire Equipment Ready,Appropriate H2 fire-fighting equipment shall be positioned during all refueling operations,Pre-refueling checklist,Ground Operations,Critical,Active
H2S-006,H2 Operations,Temperature Monitoring,H2 storage temperature shall be monitored continuously and remain within -258°C to -248°C,CAOS monitoring / Crew awareness,CAOS / Flight Crew,Critical,Active
H2S-007,H2 Operations,Pressure Monitoring,H2 system pressure shall be monitored continuously and remain within 1.2 to 3.5 bar,CAOS monitoring / Crew awareness,CAOS / Flight Crew,Critical,Active
FCS-001,Fuel Cell Operations,Thermal Management,Fuel cell operating temperature shall be maintained within 60-80°C range,CAOS monitoring / Automatic control,CAOS / Flight Crew,Critical,Active
FCS-002,Fuel Cell Operations,Load Distribution,Load shall be distributed across fuel cell stacks to minimize thermal cycling,CAOS optimization / Crew monitoring,CAOS / Flight Crew,High,Active
FCS-003,Fuel Cell Operations,Emergency Shutdown Capability,Crew shall have immediate capability to shut down any or all fuel cell stacks,Procedure validation / Crew training,Flight Crew,Critical,Active
FCS-004,Fuel Cell Operations,Performance Monitoring,Fuel cell performance shall be monitored continuously for degradation,CAOS predictive monitoring,CAOS / Maintenance,High,Active
CAOS-001,CAOS Operations,Human Authority,Flight crew shall retain final decision authority over all CAOS recommendations,Procedures / Training / Interface design,Flight Crew / CAOS Engineering,Critical,Active
CAOS-002,CAOS Operations,Transparency,CAOS shall provide explanation and confidence level for all safety-relevant recommendations,Interface review / Crew feedback,CAOS Engineering,High,Active
CAOS-003,CAOS Operations,Override Capability,Crew shall have immediate single-action capability to override/disable CAOS,Interface design / Testing,CAOS Engineering,Critical,Active
CAOS-004,CAOS Operations,Independent Safety Monitor,CAOS safety-critical functions shall have independent safety monitor using conventional algorithms,Dual-channel architecture validation,CAOS Engineering / Safety,Critical,Active
CAOS-005,CAOS Operations,Continuous Validation,CAOS operational performance shall be monitored continuously and validated against actual outcomes,Performance tracking / Fleet data analysis,CAOS Engineering / Flight Ops,High,Active
BWB-001,BWB Operations,CG Limits Compliance,All operations shall maintain CG within approved limits for BWB configuration,Load planning / CAOS validation,Load Planning / Flight Crew,Critical,Active
BWB-002,BWB Operations,Tail Strike Prevention,Rotation rates and pitch attitudes shall prevent tail strike during takeoff and landing,Crew training / FDM monitoring,Flight Crew / Flight Safety,Critical,Active
BWB-003,BWB Operations,Ground Clearance,Wing tip and tail clearances shall be maintained during all ground operations,Ground crew training / Procedures,Ground Operations,Critical,Active
BWB-004,BWB Operations,Evacuation Capability,Emergency evacuation capability shall meet 90-second requirement,Certification demonstration / Crew training,Flight Operations / Cabin Crew,Critical,Active
