Parameter,Value,Unit,Condition,Notes
Maximum Range,4000,km,Full Fuel,Design maximum range
Maximum Endurance,5.5,hr,Optimized,Best endurance configuration
Fuel Capacity,4200,kg,H2,Liquid hydrogen capacity
Reserve Fuel,488,kg,45 min,Required reserve fuel
Alternate Fuel,325,kg,200 km,Alternate airport fuel
Mission Fuel Typical,3200,kg,4000 km,Typical mission fuel requirement
Specific Range,6.15,km/kg,Cruise,Distance per kg H2
Fuel Efficiency vs Conv,68,%,Better,Improvement vs conventional Jet-A
BWB Range Advantage,35,%,vs Conv,Range advantage vs conventional
H2 Energy Content,120,MJ/kg,LH2,Liquid hydrogen energy content
Fuel Weight Fraction,4.4,%,MTOW,Fuel as percentage of MTOW
Payload Range,Linear,relationship,Trade,Payload vs range trade-off
Ferry Range,4800,km,No Payload,Maximum ferry range
Diversion Range,500,km,Typical,Typical diversion capability
Holding Fuel 30min,244,kg,Standard,30-minute holding fuel
Holding Fuel 45min,488,kg,Selected,Selected reserve policy
CAOS Range Optimization,3-5,%,Improvement,CAOS optimization benefit
Wind Effect Maximum,±15,%,Range,Maximum wind effect on range
Temperature Effect,±5,%,Range,Temperature effect on range
Boiloff Compensation,0.3-0.5,%/hr,Ground,Ground boiloff allowance
